workerID,gender,age,income,language,order,personA,personB,food,totalQuant,eatenQuant,quantifier,upset,happy,surprised,neutral
1,M,25,6,english,1,Stephanie,Jane,cookies,10,2,all,0.25,0.75,0.4,0.625
1,M,25,6,english,2,Edward,Victor,M&M's,10,7,all,0.85,0.3,0.725,0.575
1,M,25,6,english,3,Yvonne,Iris,cookies,10,9,some,0.65,0.4,0.375,0.55
1,M,25,6,english,4,Fiona,Grace,cookies,10,3,some,0.575,0.4,0.275,0.375
1,M,25,6,english,5,Nancy,David,cookies,10,7,some,0.65,0.45,0.625,0.475
1,M,25,6,english,6,Frank,Jake,M&M's,10,1,all,0.6,0.25,0.425,0.475
1,M,25,6,english,7,Steven,Tracy,M&M's,10,10,all,1,0.3,0.775,0.2
1,M,25,6,english,8,Patty,Emma,cookies,10,1,some,0.35,0.675,0.275,0.3
1,M,25,6,english,9,Tom,Kevin,pies,10,4,all,0.975,0.375,0.35,0.7
1,M,25,6,english,10,Barbara,Lena,cookies,10,8,some,0.9,0.4,0.775,0.35
1,M,25,6,english,11,Patrick,Heather,M&M's,10,6,some,0.625,0.375,0.4,0.575
2,F,25,4,English,1,Victor,Diana,pies,10,8,all,0.725,0,0.7,0.3
2,F,25,4,English,2,Tom,Kathy,pies,10,4,all,0.55,0.3,0.25,0.375
2,F,25,4,English,3,Olga,Larry,M&M's,10,0,none,0,0,0.825,0.275
2,F,25,4,English,4,David,Oliver,M&M's,10,10,some,0.225,0,0.575,0.775
2,F,25,4,English,5,Yvonne,Cathy,pies,10,6,all,0.45,0.05,0.3,0
2,F,25,4,English,6,George,Frank,pies,10,2,all,0.55,0.125,0,0.25
2,F,25,4,English,7,Iris,Patrick,pies,10,9,some,0.15,0.05,0.475,0.625
2,F,25,4,English,8,Nancy,Bob,cookies,10,2,all,0.575,0.05,0,0.125
2,F,25,4,English,9,Stephanie,Tracy,pies,10,0,none,0.1,0.05,0.825,0.55
2,F,25,4,English,10,Zack,Nathan,cookies,10,5,all,0.575,0,0,0.225
2,F,25,4,English,11,Jane,Grace,M&M's,10,1,all,0.05,0.325,0,0
3,M,25,4,English,1,Jane,Grace,M&M's,10,9,all,0.65,0.5,0.825,0.15
3,M,25,4,English,2,Iris,Calvin,cookies,10,5,all,0.65,0.5,0.65,0.35
3,M,25,4,English,3,Nancy,Larry,M&M's,10,0,none,0.85,0.15,0.5,0.4
3,M,25,4,English,4,Lena,Edward,M&M's,10,7,some,0.5,0.5,0.275,0.675
3,M,25,4,English,5,Heather,Diana,M&M's,10,2,all,0.95,0.075,0.7,0.5
3,M,25,4,English,6,Robert,Tracy,cookies,10,8,some,0.325,0.725,0.3,0.725
3,M,25,4,English,7,Cathy,Frank,cookies,10,6,some,0.3,0.6,0.3,0.575
3,M,25,4,English,8,Nathan,Ivan,pies,10,7,all,0.85,0.15,0.825,0.15
3,M,25,4,English,9,Kevin,Zack,cookies,10,9,all,0.775,0.375,0.775,0.4
3,M,25,4,English,10,Victoria,Albert,cookies,10,1,all,0.75,0.35,0.625,0.5
3,M,25,4,English,11,Tom,Emma,M&M's,10,10,all,0.925,0.35,0.925,0.35
4,F,25,0,English,1,Grace,Heather,M&M's,10,0,none,0.125,0.5,0.75,0.5
4,F,25,0,English,2,George,Wendy,M&M's,10,4,some,0.1,0.375,0.275,0.5
4,F,25,0,English,3,Ann,Patty,cookies,10,9,some,0.875,0.075,0.9,0.075
4,F,25,0,English,4,Larry,Diana,cookies,10,4,all,0.5,0.325,0.625,0.6
4,F,25,0,English,5,Edward,Calvin,pies,10,10,all,0.9,0.025,0.9,0.025
4,F,25,0,English,6,Barbara,Nancy,cookies,10,0,none,0.075,0.075,0.45,0.5
4,F,25,0,English,7,Nathan,Fiona,M&M's,10,2,some,0.025,0.725,0.5,0.925
4,F,25,0,English,8,Winston,Henry,cookies,10,10,some,0.9,0.1,0.775,0.125
4,F,25,0,English,9,Mary,Steven,pies,10,3,some,0.5,0.65,0.5,0.925
4,F,25,0,English,10,Cathy,Jane,M&M's,10,10,some,0.975,0.025,0.725,0.025
4,F,25,0,English,11,Tracy,Jake,pies,10,9,all,0.8,0.15,0.85,0.2
5,M,25,4,English,1,Fiona,Stephanie,pies,10,10,all,0.75,0.675,1,0.35
5,M,25,4,English,2,Bob,Winston,cookies,10,7,all,0.625,0.6,0.775,0.4
5,M,25,4,English,3,Steven,Wendy,pies,10,1,all,1,0.575,1,0.15
5,M,25,4,English,4,Calvin,Victoria,M&M's,10,3,some,0.3,0.85,0.225,0.7
5,M,25,4,English,5,Oliver,Ivan,pies,10,7,all,0.875,0.4,0.8,0.2
5,M,25,4,English,6,Barbara,Olga,M&M's,10,0,none,0.675,0.275,1,0.275
5,M,25,4,English,7,Iris,Zack,pies,10,8,some,0.25,0.75,0.275,0.65
5,M,25,4,English,8,David,Matt,cookies,10,8,all,0.775,0.55,0.75,0.225
