"","food","totalQuant","eatenQuant","quantifier","variable","N","value","sd","se","ci"
"1","cookies",10,"0","none","Comp.1",13,0.538097286923255,0.253249983915845,0.0702389078860777,0.153037433644001
"2","cookies",10,"0","none","Comp.2",13,0.40870078141208,0.297380148239054,0.0824784132908455,0.17970502504869
"3","cookies",10,"0","none","Comp.3",13,0.56395374347361,0.257732624172961,0.0714821686011924,0.155746266040714
"4","cookies",10,"0","none","Comp.4",13,0.477931971133031,0.304102403371532,0.0843428314113762,0.183767243169567
"5","cookies",10,"1","all","Comp.1",9,0.676900676610525,0.262883719000233,0.087627906333411,0.202070314364129
"6","cookies",10,"1","all","Comp.2",9,0.418873201505489,0.263382662933348,0.0877942209777827,0.202453836621795
"7","cookies",10,"1","all","Comp.3",9,0.567494340708345,0.309191021391745,0.103063673797248,0.237665257965788
"8","cookies",10,"1","all","Comp.4",9,0.3284340038905,0.266951270053748,0.0889837566845827,0.205196910880649
"9","cookies",10,"1","some","Comp.1",8,0.202469760648427,0.149468683583702,0.0528451598685312,0.124958946604427
"10","cookies",10,"1","some","Comp.2",8,0.459070111075577,0.332959115372399,0.117718824168849,0.278360786498647
"11","cookies",10,"1","some","Comp.3",8,0.433535006314555,0.298696736615966,0.105605243989721,0.249716721033467
"12","cookies",10,"1","some","Comp.4",8,0.648068813650022,0.326103348623891,0.115294944589797,0.27262922206308
"13","cookies",10,"2","all","Comp.1",9,0.561285167407886,0.289242626423685,0.0964142088078951,0.222331564203444
"14","cookies",10,"2","all","Comp.2",9,0.388334744716769,0.338771363927994,0.112923787975998,0.26040272203557
"15","cookies",10,"2","all","Comp.3",9,0.431721941845286,0.260520149551268,0.0868400498504226,0.20025351405641
"16","cookies",10,"2","all","Comp.4",9,0.318291449803568,0.228101913325208,0.0760339711084027,0.175334651791971
"17","cookies",10,"2","some","Comp.1",6,0.167664536266339,0.158211057256407,0.0645893936574084,0.166032322110497
"18","cookies",10,"2","some","Comp.2",6,0.608618785980647,0.117491909705951,0.047965871280789,0.123300197444866
"19","cookies",10,"2","some","Comp.3",6,0.365471727832799,0.224416395496003,0.0916176098133055,0.235510563610498
"20","cookies",10,"2","some","Comp.4",6,0.335497732576821,0.187642116641985,0.0766045733381113,0.196918324749619
"21","cookies",10,"3","all","Comp.1",4,0.585496658865481,0.338077477979441,0.16903873898972,0.537956710347653
"22","cookies",10,"3","all","Comp.2",4,0.444835865796684,0.191312081088242,0.0956560405441212,0.304420212807707
"23","cookies",10,"3","all","Comp.3",4,0.566785944291463,0.13690086049962,0.0684504302498101,0.217839818843588
"24","cookies",10,"3","all","Comp.4",4,0.349221177302065,0.165343803912311,0.0826719019561553,0.263098888931143
"25","cookies",10,"3","some","Comp.1",10,0.264766217234779,0.224621769493788,0.0710316403657696,0.160684734038732
"26","cookies",10,"3","some","Comp.2",10,0.52031327964411,0.306126837228582,0.0968058058545945,0.218989947114423
"27","cookies",10,"3","some","Comp.3",10,0.406344354391761,0.12169600265212,0.038483655051859,0.0870560759262182
"28","cookies",10,"3","some","Comp.4",10,0.46335545015905,0.232482182309716,0.0735173211505207,0.166307734630386
"29","cookies",10,"4","all","Comp.1",6,0.59367398366113,0.2993100567594,0.122192818990667,0.314106640942604
"30","cookies",10,"4","all","Comp.2",6,0.366268016976858,0.220929325585802,0.0901940194837377,0.231851108167924
"31","cookies",10,"4","all","Comp.3",6,0.554085834601232,0.349119960421142,0.142527627008743,0.366378929065022
