workerID,gender,age,income,language,condition,order,pesonA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,affect
17,M,35,4,English ,ironic,1,Victoria,Iris,M&M's,100,0,1,all,She wrongly feels that her friend ate all of the candy she brought. 
17,M,35,4,English ,true-some,2,Diana,Patrick,blueberries,100,3,31,some,She feels that he ate a portion of them and seems okay with it. 
17,M,35,4,English ,literal-some,3,Ivan,Olga,blueberries,100,10,100,some,Ivan is incorrect about the amount but feels okay thinking some were eaten by Olga. 
17,M,35,4,English ,hyperbolic,4,Bob,Victor,strawberries,10,7,7,all,Bob seems upset for thinking Victor ate all of them. 
17,M,35,4,English ,true-all,5,Nathan,Kathy,blueberries,10,10,10,all,Nathan correctly is upset that Kathy was selfish and ate them all. 
17,M,35,4,English ,hyperbolic,6,David,Jane,bananas,100,8,88,all,David is upset because Jane ate pretty much all of them. 
17,M,35,4,English ,hyperbolic,7,Henry,Steven,bananas,100,9,91,all,Henry feels surprised that Steven would eat almost all of the bananas.
18,F,35,0,English,hyperbolic,1,Fiona,Wendy,strawberries,100,8,86,all,Fiona feels that Wendy was greedy and took too many.
18,F,35,0,English,hyperbolic,2,Tom,Tracy,pies,10,9,9,all,Tom thinks that Tracy was greedy and should have saved them.
18,F,35,0,English,literal-some,3,Robert,Barbara,strawberries,100,10,100,some,Robert thinks Barbara ate too many strawberries but isn't too worried about it.
18,F,35,0,English,true-some,4,Frank,Ivan,cookies,10,3,3,some,Frank thinks that Ivan ate an acceptable amount of cookies.
18,F,35,0,English,ironic,5,Larry,Nancy,M&M's,100,0,3,all,Larry thinks that Nancy ate too many M&M's.
18,F,35,0,English,true-all,6,Jake,Iris,blueberries,10,10,10,all,Jake thinks that Iris was greedy and ate too many blueberries.
18,F,35,0,English,hyperbolic,7,Stephanie,Diana,cookies,100,7,73,all,Stephanie thinks that Diana ate too many cookies and should have left some.
19,M,35,6,english,ironic,1,Nathan,Robert,bananas,100,0,6,all,He feels that Robert ate more than his share.
19,M,35,6,english,literal-some,2,Zack,Ivan,bananas,100,10,100,some,He feels that Ivan ate a lot of bananas
19,M,35,6,english,hyperbolic,3,Jane,Olga,M&M's,10,8,8,all,She thinks that Olga is greedy.
