workerID,gender,age,income,language,condition,order,personA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,upset,annoyed,angry,disgusted,excited,happy,surprised
1,M,25,4,English,hyperbolic,1,Barbara,Diana,bananas,10,8,8,all,0.8,0.5,0.775,0.5,0.525,0.5,0.5
1,M,25,4,English,true-some,2,Heather,Yvonne,strawberries,10,3,3,some,0.5,0.5,0.5,0.5,0.5,0.5,0.65
1,M,25,4,English,hyperbolic,3,Tom,Cathy,bananas,100,3,32,all,0.5,0.65,0.5,0.5,0.5,0.5,0.675
1,M,25,4,English,literal-some,4,David,Tracy,pies,10,10,10,some,0.5,0.5,0.975,0.975,0.5,0.975,0.975
1,M,25,4,English,hyperbolic,5,Rebecca,Albert,bananas,10,3,3,all,0.5,0.625,0.7,0.5,0.5,0.5,0.5
1,M,25,4,English,true-some,6,Olga,Robert,strawberries,100,8,87,some,0.5,0.475,0.675,0.5,0.5,0.5,0.7
1,M,25,4,English,literal-some,7,George,Patrick,strawberries,100,10,100,some,0.975,1,0.975,0.975,0.5,0.5,0.975
1,M,25,4,English,true-some,8,Bob,Mary,strawberries,100,3,35,some,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,M,25,4,English,hyperbolic,9,Winston,Iris,blueberries,100,8,80,all,0.575,0.725,0.75,0.5,0.5,0.5,0.5
1,M,25,4,English,true-all,10,Calvin,Henry,pies,10,10,10,all,0.975,0.5,1,0.725,0.5,0.5,0.975
1,M,25,4,English,true-all,11,Nathan,Fiona,pies,100,10,100,all,0.875,0.975,0.975,0.975,0.5,0.5,0.975
1,M,25,4,English,true-some,12,Jake,Lena,bananas,10,8,8,some,0.675,0.5,0.5,0.725,0.5,0.5,0.5
2,M,35,11,english,literal-some,1,Ivan,Ann,M&M's,100,10,100,some,0.8,0.8,0.675,0.725,0.75,0.25,0.9
2,M,35,11,english,literal-some,2,Mary,Emma,cookies,10,10,10,some,0.1,0.075,0.075,0.1,0.275,0.825,0.2
2,M,35,11,english,hyperbolic,3,Lena,Albert,strawberries,100,8,84,all,0.925,0.9,0.8,0.825,0.725,0.2,0.725
2,M,35,11,english,hyperbolic,4,Calvin,Heather,bananas,100,3,30,all,0.1,0.175,0.35,0.775,0.6,0.725,0.175
2,M,35,11,english,true-all,5,Nathan,Patrick,M&M's,100,10,100,all,0.8,0.85,0.825,0.875,0.725,0.225,0.9
2,M,35,11,english,true-some,6,Olga,Zack,bananas,100,3,36,some,0.275,0.675,0.2,0.15,0.775,0.65,0.2
2,M,35,11,english,hyperbolic,7,Bob,Rebecca,strawberries,10,3,3,all,0.15,0.125,0.125,0.175,0.25,0.75,0.225
2,M,35,11,english,hyperbolic,8,Henry,Frank,blueberries,10,8,8,all,0.55,0.7,0.8,0.1,0.3,0.2,0.125
