workerID,gender,age,income,language,condition,order,personA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,upset,annoyed,angry,disgusted,excited,happy,surprised
2,M,35,11,english,true-some,9,Patty,Matt,strawberries,10,3,3,some,0.175,0.125,0.15,0.075,0.375,0.75,0.275
2,M,35,11,english,true-some,10,Iris,Tracy,strawberries,100,8,88,some,0.75,0.85,0.625,0.775,0.65,0.2,0.75
2,M,35,11,english,true-some,11,David,Nancy,strawberries,10,8,8,some,0.775,0.7,0.85,0.125,0.775,0.35,0.6
2,M,35,11,english,true-all,12,Jake,Edward,cookies,10,10,10,all,0.9,0.8,0.85,0.975,0.8,0.225,0.925
3,F,35,6,English,true-some,1,Ann,Victor,cookies,100,3,37,some,0.35,0.725,0.275,0.65,0.75,0.65,0.2
3,F,35,6,English,hyperbolic,2,Steven,Patty,M&M's,100,3,34,all,0.8,0.75,0.75,0.775,0.175,0.2,0.725
3,F,35,6,English,true-some,3,Kevin,Tracy,cookies,100,8,84,some,0.325,0.3,0.325,0.325,0.625,0.375,0.7
3,F,35,6,English,hyperbolic,4,Wendy,Barbara,cookies,10,3,3,all,0.65,0.65,0.675,0.6,0.575,0.25,0.65
3,F,35,6,English,hyperbolic,5,Ivan,Lena,blueberries,100,8,86,all,0.725,0.675,0.65,0.7,0.3,0.25,0.675
3,F,35,6,English,true-all,6,Nancy,Kathy,bananas,10,10,10,all,0.65,0.775,0.65,0.75,0.1,0.25,0.7
3,F,35,6,English,true-all,7,David,Heather,bananas,100,10,100,all,0.75,0.675,0.7,0.7,0.1,0.1,0.725
3,F,35,6,English,true-some,8,Tom,Victoria,blueberries,10,3,3,some,0.2,0.25,0.225,0.2,0.65,0.675,0.55
3,F,35,6,English,literal-some,9,Fiona,Grace,pies,100,10,100,some,0.25,0.3,0.15,0.375,0.675,0.6,0.75
3,F,35,6,English,hyperbolic,10,Stephanie,Mary,bananas,10,8,8,all,0.25,0.6,0.25,0.275,0.8,0.675,0.675
3,F,35,6,English,true-some,11,Zack,Jane,blueberries,10,8,8,some,0.7,0.65,0.425,0.625,0.325,0.65,0.6
3,F,35,6,English,literal-some,12,Oliver,George,cookies,10,10,10,some,0.125,0.3,0.2,0.3,0.75,0.75,0.75
4,F,35,4,English,true-some,1,Tracy,Patrick,blueberries,10,8,8,some,0.575,0.575,0.625,0.55,0.5,0.45,0.7
4,F,35,4,English,true-all,2,Kevin,Heather,cookies,10,10,10,all,1,1,0.975,0.975,0,0,0.75
4,F,35,4,English,true-some,3,Matt,Winston,blueberries,100,8,85,some,0.75,0.675,0.675,0.675,0.325,0.325,0.6
4,F,35,4,English,literal-some,4,Patty,Rebecca,cookies,10,10,10,some,0.975,0.975,0.975,0.975,0.025,0.025,0.975
4,F,35,4,English,hyperbolic,5,Mary,Tom,pies,10,8,8,all,1,1,1,1,0,0,1
4,F,35,4,English,hyperbolic,6,Bob,Henry,blueberries,10,3,3,all,0.1,0,0,0.05,0.75,0.825,0.675
4,F,35,4,English,true-some,7,Edward,Ivan,cookies,10,3,3,some,0.025,0,0,0,1,1,0.475
4,F,35,4,English,literal-some,8,Kathy,Barbara,bananas,100,10,100,some,1,1,1,1,0,0,1
4,F,35,4,English,true-some,9,Victoria,Nancy,bananas,100,3,36,some,0.15,0.175,0.15,0.175,0.7,0.75,0.725
4,F,35,4,English,hyperbolic,10,David,George,bananas,100,8,86,all,1,1,1,1,0,0,0.825
4,F,35,4,English,true-all,11,Yvonne,Robert,bananas,100,10,100,all,1,1,1,1,0,0,0.825
4,F,35,4,English,hyperbolic,12,Cathy,Zack,cookies,100,3,33,all,0.175,0.1,0.25,0,0.675,0.725,0.6
5,M,17,8,english,literal-some,1,Edward,Wendy,M&M's,10,10,10,some,0.75,0.75,0.85,0.85,0.1,0.125,0.9
5,M,17,8,english,hyperbolic,2,Cathy,Frank,cookies,10,3,3,all,0.75,0.825,0.725,0.7,0.075,0.325,0.25
5,M,17,8,english,literal-some,3,Nancy,Zack,cookies,100,10,100,some,0.825,0.925,0.9,0.85,0.025,0.1,0.15
5,M,17,8,english,true-all,4,Patrick,Ivan,cookies,100,10,100,all,0.875,0.875,0.85,0.85,0.175,0.325,0.325
5,M,17,8,english,hyperbolic,5,Diana,Oliver,M&M's,100,3,30,all,0.75,0.9,0.85,0.85,0.2,0.075,0.075
5,M,17,8,english,true-some,6,Bob,Winston,cookies,100,8,81,some,0.875,0.85,0.825,0.9,0.2,0.1,0.125
5,M,17,8,english,true-some,7,Victor,Nathan,strawberries,10,3,3,some,0.425,0.825,0.875,0.375,0.375,0.075,0.375
5,M,17,8,english,true-some,8,Tom,Fiona,blueberries,10,8,8,some,0.85,0.675,0.725,0.8,0.175,0.225,0.775
5,M,17,8,english,true-some,9,Stephanie,Emma,M&M's,100,3,30,some,0.8,0.775,0.75,0.85,0.175,0.2,0.275
5,M,17,8,english,hyperbolic,10,Robert,Jane,strawberries,10,8,8,all,0.675,0.85,0.25,0.65,0.85,0.175,0.775
5,M,17,8,english,true-all,11,Tracy,Albert,cookies,10,10,10,all,0.775,0.3,0.675,0.275,0.7,0.325,0.75
5,M,17,8,english,hyperbolic,12,Larry,Heather,M&M's,100,8,89,all,0.9,0.8,0.75,0.775,0.25,0.15,0.8
6,M,25,4,English,hyperbolic,1,Yvonne,Oliver,blueberries,100,3,33,all,0.75,0.85,0.75,0.75,0.025,0.175,0.75
6,M,25,4,English,true-some,2,Zack,George,strawberries,100,3,39,some,0.25,0.25,0.125,0.5,0,0.125,0.7
6,M,25,4,English,true-some,3,David,Rebecca,bananas,10,3,3,some,0,0,0,0,0,0.2,0
6,M,25,4,English,literal-some,4,Matt,Victoria,M&M's,10,10,10,some,0.275,0.7,0.175,0.075,0.05,0.075,0.7
6,M,25,4,English,true-all,5,Steven,Mary,strawberries,100,10,100,all,0.95,0.95,0.95,0.95,0.075,0.05,0.95
6,M,25,4,English,literal-some,6,Iris,Barbara,cookies,100,10,100,some,0.7,0.75,0.725,0.675,0.075,0.075,0.625
6,M,25,4,English,hyperbolic,7,Wendy,Calvin,pies,10,8,8,all,0.925,0.95,0.925,0.875,0.15,0.05,0.75
6,M,25,4,English,true-some,8,Stephanie,Kevin,blueberries,100,8,80,some,0.65,0.65,0.725,0.7,0.05,0.125,0.775
6,M,25,4,English,hyperbolic,9,Robert,Heather,bananas,100,8,84,all,0.95,0.95,0.95,0.95,0.05,0.05,0.95
6,M,25,4,English,true-all,10,Fiona,Cathy,bananas,10,10,10,all,0.95,0.95,0.95,0.95,0.35,0.075,0.95
6,M,25,4,English,hyperbolic,11,Diana,Nancy,cookies,10,3,3,all,0.8,0.825,0.75,0.625,0.175,0.1,0.625
6,M,25,4,English,true-some,12,Henry,Victor,pies,10,8,8,some,0.375,0.775,0.6,0.55,0.1,0.1,0.675
7,M,35,4,english,true-some,1,Frank,Henry,cookies,10,3,3,some,0.425,0.425,0.35,0.375,0.4,0.4,0.6
7,M,35,4,english,hyperbolic,2,Steven,Edward,bananas,100,3,33,all,0.575,0.6,0.6,0.6,0.5,0.175,0.675
7,M,35,4,english,hyperbolic,3,Yvonne,Olga,pies,10,8,8,all,0.625,0.65,0.625,0.55,0.325,0.3,0.65
7,M,35,4,english,true-some,4,Cathy,Diana,blueberries,100,3,39,some,0.3,0.225,0.35,0.525,0.3,0.275,0.55
7,M,35,4,english,hyperbolic,5,Barbara,Patrick,strawberries,10,3,3,all,0.375,0.425,0.3,0.4,0.275,0.175,0.45
7,M,35,4,english,true-all,6,Emma,Tracy,blueberries,10,10,10,all,0.475,0.775,0.6,0.7,0.175,0.275,0.625
7,M,35,4,english,true-some,7,Fiona,Calvin,pies,100,8,80,some,0.475,0.45,0.4,0.45,0.45,0.275,0.4
7,M,35,4,english,literal-some,8,Zack,Kevin,pies,10,10,10,some,0.475,0.425,0.325,0.35,0.3,0.35,0.625
7,M,35,4,english,hyperbolic,9,Wendy,George,blueberries,100,8,84,all,0.45,0.725,0.475,0.55,0.225,0.2,0.6
7,M,35,4,english,true-all,10,Robert,Matt,strawberries,100,10,100,all,0.7,0.725,0.7,0.6,0.6,0.125,0.7
7,M,35,4,english,literal-some,11,Rebecca,Jake,cookies,100,10,100,some,0.3,0.375,0.25,0.3,0.275,0.125,0.3
7,M,35,4,english,true-some,12,Winston,Tom,blueberries,10,8,8,some,0.25,0.3,0.4,0.425,0.25,0.275,0.35
8,M,35,4,English,hyperbolic,1,Ivan,Ann,blueberries,100,3,32,all,0.625,0.525,0.45,0.35,0.35,0.3,0.5
8,M,35,4,English,true-some,2,Grace,Zack,strawberries,100,8,87,some,0.475,0.45,0.425,0.325,0.5,0.275,0.4
8,M,35,4,English,literal-some,3,Edward,Bob,strawberries,10,10,10,some,0.35,0.375,0.4,0.45,0.375,0.4,0.4
8,M,35,4,English,hyperbolic,4,Henry,Jane,bananas,10,3,3,all,0.575,0.55,0.425,0.475,0.4,0.2,0.6
8,M,35,4,English,true-some,5,Kathy,Tracy,strawberries,100,3,37,some,0.375,0.45,0.4,0.475,0.45,0.45,0.575
8,M,35,4,English,literal-some,6,Victoria,Patrick,M&M's,100,10,100,some,0.575,0.575,0.525,0.6,0.175,0.275,0.65
8,M,35,4,English,true-all,7,Kevin,Olga,blueberries,100,10,100,all,0.725,0.7,0.7,0.675,0.1,0.15,0.75
8,M,35,4,English,hyperbolic,8,Frank,Robert,strawberries,10,8,8,all,0.6,0.625,0.625,0.6,0.15,0.3,0.55
8,M,35,4,English,true-some,9,Steven,Nathan,M&M's,10,8,8,some,0.45,0.55,0.475,0.475,0.25,0.275,0.475
8,M,35,4,English,true-all,10,Victor,Barbara,M&M's,10,10,10,all,0.45,0.375,0.475,0.375,0.35,0.275,0.375
8,M,35,4,English,true-some,11,Emma,Wendy,blueberries,10,3,3,some,0.25,0.225,0.2,0.25,0.25,0.25,0.35
8,M,35,4,English,hyperbolic,12,Iris,Diana,M&M's,100,8,85,all,0.7,0.65,0.7,0.65,0.175,0.2,0.575
9,F,45,10,English,true-some,1,Patty,Iris,blueberries,10,8,8,some,0.4,0.45,0.45,0.45,0.45,0.45,0.875
9,F,45,10,English,true-some,2,Oliver,Ann,bananas,100,8,80,some,0.6,0.5,0.55,0.725,0.5,0.5,0.9
9,F,45,10,English,literal-some,3,Patrick,Nathan,cookies,100,10,100,some,0.75,0.75,0.75,0.75,0.5,0.25,0.775
9,F,45,10,English,literal-some,4,Olga,Mary,blueberries,10,10,10,some,0.575,0.575,0.575,0.575,0.5,0.35,0.6
9,F,45,10,English,true-some,5,Ivan,Fiona,bananas,100,3,30,some,0.125,0.175,0.175,0.175,0.3,0.65,0.3
9,F,45,10,English,hyperbolic,6,Robert,Albert,strawberries,10,3,3,all,0.05,0.1,0.075,0.05,0.35,0.8,0.275
9,F,45,10,English,hyperbolic,7,Tracy,George,strawberries,10,8,8,all,0.625,0.625,0.625,0.625,0.35,0.225,0.725
9,F,45,10,English,true-some,8,Victoria,Kevin,pies,10,3,3,some,0.55,0.5,0.5,0.575,0.5,0.5,0.775
9,F,45,10,English,hyperbolic,9,David,Emma,cookies,100,8,88,all,0.65,0.625,0.625,0.65,0.55,0.325,0.825
9,F,45,10,English,true-all,10,Barbara,Victor,cookies,10,10,10,all,0.85,0.9,0.9,0.875,0.575,0.275,0.9
9,F,45,10,English,true-all,11,Jane,Kathy,M&M's,100,10,100,all,0.825,0.825,0.775,0.825,0.55,0.175,0.825
9,F,45,10,English,hyperbolic,12,Wendy,Edward,cookies,100,3,35,all,0.875,0.875,0.9,0.9,0.775,0.075,0.9
10,M,35,6,english,true-some,1,Diana,Kathy,cookies,100,8,83,some,0.875,0.825,0.925,0.975,0.575,0.5,1
10,M,35,6,english,true-some,2,Jane,Albert,M&M's,100,3,38,some,0.6,0.45,0.6,0.275,0.575,0.375,0.45
10,M,35,6,english,hyperbolic,3,Calvin,Nancy,M&M's,100,8,83,all,1,0.875,1,1,0.175,0.3,0.875
10,M,35,6,english,literal-some,4,Emma,Oliver,strawberries,100,10,100,some,1,1,1,1,0,0,1
10,M,35,6,english,true-all,5,Bob,Stephanie,M&M's,100,10,100,all,1,0,1,1,0.125,0.175,0.65
10,M,35,6,english,hyperbolic,6,Frank,Victoria,blueberries,10,3,3,all,0.075,0,0,0,0.5,0.85,0.175
10,M,35,6,english,true-some,7,Yvonne,Barbara,cookies,10,8,8,some,0.85,0.9,0.825,0.575,0.325,0.3,0.875
10,M,35,6,english,literal-some,8,Olga,Ann,cookies,10,10,10,some,1,1,1,1,0,0,1
10,M,35,6,english,hyperbolic,9,Heather,Grace,strawberries,10,8,8,all,0.9,0.925,0.925,0.775,0.15,0.125,0.65
10,M,35,6,english,true-all,10,Ivan,Wendy,pies,10,10,10,all,1,1,1,1,0,0,1
10,M,35,6,english,true-some,11,Kevin,Winston,cookies,10,3,3,some,0,0,0,0.05,0.675,0.775,0
10,M,35,6,english,hyperbolic,12,George,Nathan,cookies,100,3,32,all,0.6,0.6,0.6,0.5,0.35,0.375,0.825
