workerID,gender,age,income,language,order,personA,personB,food,totalQuant,eatenQuant,quantifier,upset,happy,surprised,neutral
1,F,25,6,English,1,Victor,Olga,cookies,10,1,all,0.775,0.2,0.775,0.3
1,F,25,6,English,2,Grace,Fiona,cookies,10,8,all,0.9,0.175,0.9,0.175
1,F,25,6,English,3,Bob,Matt,M&M's,10,1,all,0.7,0.4,0.55,0.3
1,F,25,6,English,4,Heather,Yvonne,M&M's,10,5,some,0.4,0.425,0.375,0.775
1,F,25,6,English,5,Robert,Winston,pies,10,2,all,0.725,0.4,0.625,0.325
1,F,25,6,English,6,Kevin,Stephanie,M&M's,10,0,none,0.15,0.2,0.6,0.9
1,F,25,6,English,7,David,Larry,pies,10,3,some,0.225,0.4,0.225,0.825
1,F,25,6,English,8,Oliver,Nathan,M&M's,10,3,some,0.1,0.5,0.3,0.925
1,F,25,6,English,9,Jane,Iris,M&M's,10,8,all,0.825,0.25,0.825,0.15
1,F,25,6,English,10,Kathy,George,pies,10,10,some,0.55,0.225,0.7,0.35
1,F,25,6,English,11,Patrick,Albert,pies,10,7,all,0.85,0.25,0.675,0.2
2,F,25,0,English,1,Grace,Emma,M&M's,10,7,all,0.2,0.75,0.225,0.2
2,F,25,0,English,2,Wendy,Rebecca,M&M's,10,9,all,0.25,0.625,0.525,0.275
2,F,25,0,English,3,Zack,Winston,M&M's,10,10,some,0.225,0.6,0.625,0.225
2,F,25,0,English,4,Lena,Matt,pies,10,9,all,0.675,0.375,0.65,0.275
2,F,25,0,English,5,George,David,M&M's,10,4,all,0.275,0.575,0.35,0.4
2,F,25,0,English,6,Olga,Oliver,cookies,10,8,some,0.575,0.4,0.575,0.4
2,F,25,0,English,7,Patrick,Nancy,M&M's,10,5,all,0.35,0.625,0.575,0.375
2,F,25,0,English,8,Ivan,Larry,M&M's,10,2,some,0.2,0.65,0.35,0.675
2,F,25,0,English,9,Jake,Robert,cookies,10,7,some,0.45,0.5,0.575,0.45
2,F,25,0,English,10,Calvin,Henry,cookies,10,2,some,0.15,0.775,0.225,0.25
2,F,25,0,English,11,Mary,Fiona,M&M's,10,8,all,0.225,0.55,0.25,0.375
3,F,45,6,English,1,Patty,Olga,M&M's,10,9,some,0.525,0,0.9,0.625
3,F,45,6,English,2,Oliver,Fiona,M&M's,10,6,some,0.15,0.55,0.525,0.925
