workerID,gender,age,income,language,condition,order,personA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,upset,annoyed,angry,disgusted,excited,happy,surprised
1,M,35,4,ENGLISH,true-some,1,Oliver,Nathan,cookies,100,8,86,some,0.775,0.775,0.45,0.775,0.25,0.2,0.65
1,M,35,4,ENGLISH,true-some,2,Yvonne,Mary,cookies,10,3,3,some,0.1,0.05,0.1,0.075,0.075,0.9,0.075
1,M,35,4,ENGLISH,true-some,3,Winston,Zack,M&M's,100,3,30,some,0.075,0.1,0.1,0.1,0.425,0.6,0.075
1,M,35,4,ENGLISH,true-all,4,Patty,Victor,blueberries,10,10,10,all,0.85,0.85,0.85,0.075,0.85,0.1,0.875
1,M,35,4,ENGLISH,hyperbolic,5,Kevin,Henry,strawberries,100,8,86,all,0.825,0.775,0.65,0.7,0.6,0.2,0.75
1,M,35,4,ENGLISH,hyperbolic,6,Stephanie,Edward,cookies,10,8,8,all,0.4,0.575,0.325,0.375,0.7,0.175,0.55
1,M,35,4,ENGLISH,true-some,7,Albert,Iris,strawberries,10,8,8,some,0.825,0.625,0.75,0.175,0.15,0.125,0.625
1,M,35,4,ENGLISH,literal-some,8,Ann,Grace,pies,10,10,10,some,0.775,0.825,0.875,0.825,0.175,0.125,0.825
1,M,35,4,ENGLISH,hyperbolic,9,Kathy,Emma,blueberries,10,3,3,all,0.35,0.275,0.425,0.25,0.575,0.375,0.6
1,M,35,4,ENGLISH,true-all,10,Steven,Rebecca,bananas,100,10,100,all,0.825,0.875,0.7,0.8,0.275,0.025,0.7
1,M,35,4,ENGLISH,literal-some,11,Calvin,Cathy,pies,100,10,100,some,0.25,0.325,0.65,0.35,0.65,0.375,0.6
1,M,35,4,ENGLISH,hyperbolic,12,Barbara,Nancy,M&M's,100,3,35,all,0.825,0.7,0.7,0.775,0.775,0.125,0.75
2,F,25,4,English,true-all,1,David,Bob,cookies,100,10,100,all,0.35,0.125,0.275,0.1,0.3,0.05,0.55
