workerID,gender,age,income,language,condition,order,pesonA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,affect
1,F,35,4,English,true-some,1,Kathy,Yvonne,pies,100,3,35,some,upset
1,F,35,4,English,hyperbolic,2,Diana,Henry,blueberries,100,9,90,all,angry
1,F,35,4,English,hyperbolic,3,Mary,Ivan,bananas,10,7,7,all,disgusted
1,F,35,4,English,literal-some,4,Heather,Matt,pies,10,10,10,some,outraged
1,F,35,4,English,ironic,5,Zack,Stephanie,bananas,10,0,0,all,none
1,F,35,4,English,hyperbolic,6,Rebecca,Frank,M&M's,10,8,8,all,none
1,F,35,4,English,true-all,7,Oliver,Fiona,cookies,10,10,10,all,upset
2,M,35,8,English,hyperbolic,1,Olga,Henry,cookies,100,8,84,all,none
2,M,35,8,English,hyperbolic,2,Tracy,Larry,cookies,10,9,9,all,anger
2,M,35,8,English,literal-some,3,Rebecca,Jake,pies,100,10,100,some,disgust
2,M,35,8,English,true-some,4,Cathy,Lena,bananas,100,3,35,some,surprise
2,M,35,8,English,ironic,5,Steven,Winston,cookies,10,0,0,all,none
2,M,35,8,English,true-all,6,Bob,Kathy,M&M's,100,10,100,all,annoyed
2,M,35,8,English,hyperbolic,7,Diana,Iris,cookies,100,7,70,all,none
3,M,35,4,English,hyperbolic,1,Mary,Grace,cookies,100,8,85,all,mad
3,M,35,4,English,ironic,2,Henry,Fiona,M&M's,10,0,0,all,none
3,M,35,4,English,hyperbolic,3,Calvin,Larry,bananas,10,7,7,all,mad
3,M,35,4,English,literal-some,4,Oliver,Emma,cookies,10,10,10,some,mad
3,M,35,4,English,true-some,5,Frank,Yvonne,pies,100,3,35,some,mad
3,M,35,4,English,true-all,6,Barbara,Winston,blueberries,10,10,10,all,mad
3,M,35,4,English,hyperbolic,7,Cathy,Albert,strawberries,10,9,9,all,angry
4,F,35,6,English,true-all,1,Oliver,Grace,M&M's,10,10,10,all,angry
4,F,35,6,English,hyperbolic,2,Henry,Fiona,blueberries,100,9,98,all,none
4,F,35,6,English,ironic,3,Patty,Tracy,bananas,100,0,6,all,none
4,F,35,6,English,literal-some,4,Bob,Kevin,blueberries,100,10,100,some,none
4,F,35,6,English,hyperbolic,5,Lena,Kathy,blueberries,10,8,8,all,angry
4,F,35,6,English,true-some,6,Heather,Stephanie,pies,100,3,36,some,none
4,F,35,6,English,hyperbolic,7,Larry,Edward,bananas,10,7,7,all,none
5,F,25,8,English,ironic,1,Patty,Olga,M&M's,10,0,0,all,none
