workerID,gender,age,income,language,condition,order,personA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,upset,annoyed,angry,disgusted,excited,happy,surprised,neutral
1,O,25,4,english,true-some,1,Heather,Larry,M&M's,10,8,8,some,0.55,0.575,0.425,0.55,0.275,0.275,0.4,0.5
1,O,25,4,english,hyperbolic,2,Robert,Cathy,M&M's,100,8,88,all,0.55,0.725,0.45,0.65,0.4,0.3,0.575,0.325
1,O,25,4,english,hyperbolic,3,Diana,Frank,cookies,10,8,8,all,0.775,0.875,0.6,0.725,0.225,0.275,0.45,0.05
1,O,25,4,english,true-all,4,Nancy,Jake,cookies,10,10,10,all,1,1,0.825,0.75,0.275,0.175,0.625,0.025
1,O,25,4,english,literal-some,5,Yvonne,Kevin,M&M's,10,10,10,some,0.575,0.625,0.45,0.6,0.4,0.35,0.55,0.4
1,O,25,4,english,true-all,6,Kathy,David,cookies,100,10,100,all,0.975,0.975,0.75,0.975,0.325,0.15,0.575,0.025
1,O,25,4,english,true-some,7,Jane,Iris,bananas,100,3,37,some,0.3,0.35,0.225,0.35,0.6,0.55,0.425,0.45
1,O,25,4,english,hyperbolic,8,Rebecca,Mary,strawberries,100,3,38,all,0.225,0.15,0.05,0.35,0.575,0.675,0.25,0.5
1,O,25,4,english,literal-some,9,Henry,Victoria,pies,100,10,100,some,0.625,0.825,0.625,0.725,0.45,0.425,0.7,0.45
1,O,25,4,english,true-some,10,Olga,Fiona,blueberries,100,8,86,some,0.575,0.55,0.425,0.55,0.45,0.5,0.575,0.375
1,O,25,4,english,hyperbolic,11,Winston,Ann,bananas,10,3,3,all,0.55,0.725,0.675,0.6,0.4,0.275,0.575,0.4
1,O,25,4,english,true-some,12,Bob,Stephanie,blueberries,10,3,3,some,0.25,0.225,0.15,0.15,0.625,0.575,0.35,0.75
2,F,35,8,English,hyperbolic,1,Victoria,Edward,M&M's,100,8,81,all,0.875,0.975,0.925,0.825,0.05,0.075,0.85,0.125
2,F,35,8,English,hyperbolic,2,Zack,Victor,bananas,10,3,3,all,0.3,0.325,0.075,0.25,0.525,0.4,0.3,0.5
2,F,35,8,English,true-some,3,Lena,Wendy,M&M's,100,3,35,some,0.125,0.225,0.275,0.05,0.275,0.5,0.275,0.5
2,F,35,8,English,literal-some,4,Mary,Patrick,cookies,10,10,10,some,0.975,0.975,0.975,0.85,0.05,0.05,0.975,0.05
2,F,35,8,English,true-all,5,Heather,Steven,blueberries,10,10,10,all,0.575,0.675,0.225,0.325,0.3,0.3,0.825,0.475
2,F,35,8,English,true-some,6,Cathy,David,M&M's,10,8,8,some,0.725,0.775,0.75,0.575,0.3,0.375,0.4,0.35
2,F,35,8,English,hyperbolic,7,Tracy,Ann,blueberries,10,8,8,all,0.875,0.85,0.875,0.725,0.65,0.25,0.65,0.1
2,F,35,8,English,true-some,8,Bob,Calvin,cookies,100,8,82,some,0.6,0.6,0.575,0.625,0.7,0.4,0.7,0.5
2,F,35,8,English,hyperbolic,9,Winston,Barbara,strawberries,100,3,34,all,0.85,0.775,0.825,0.725,0.7,0.15,0.7,0.175
2,F,35,8,English,literal-some,10,Albert,Larry,M&M's,100,10,100,some,0.575,0.7,0.625,0.125,0.6,0.375,0.75,0.4
2,F,35,8,English,true-some,11,Olga,Emma,cookies,10,3,3,some,0.25,0.175,0.25,0.25,0.775,0.575,0.775,0.4
2,F,35,8,English,true-all,12,Nancy,Tom,blueberries,100,10,100,all,0.875,0.975,0.975,0.875,0.6,0.125,0.8,0.05
3,M,35,4,English,hyperbolic,1,Cathy,Stephanie,bananas,10,8,8,all,0.85,0.85,1,0.85,0,0,0.65,0
3,M,35,4,English,true-some,2,Jake,Tracy,cookies,10,8,8,some,0.375,0.675,0.45,0.625,0.325,0.375,0.375,0.975
3,M,35,4,English,true-some,3,Fiona,Barbara,strawberries,100,3,30,some,0.175,0.25,0.1,0.15,0.625,0.75,0.1,0.85
3,M,35,4,English,hyperbolic,4,Victor,Grace,blueberries,100,8,82,all,0.825,0.75,0.875,0.775,0,0,0.725,0.225
3,M,35,4,English,literal-some,5,Nancy,Frank,blueberries,10,10,10,some,0.625,0.75,0.625,0.725,0.25,0.3,0.675,0.65
3,M,35,4,English,hyperbolic,6,Tom,Steven,strawberries,100,3,35,all,0.725,0.65,0.725,0.775,0.325,0.225,0.3,0.7
3,M,35,4,English,literal-some,7,Winston,Mary,cookies,100,10,100,some,0.325,0.3,0.35,0.275,0.75,0.35,0.6,0.85
3,M,35,4,English,true-all,8,Lena,Patrick,M&M's,10,10,10,all,0.875,0.95,0.95,0.775,0.05,0.1,0.775,0.325
3,M,35,4,English,true-some,9,Kevin,Patty,M&M's,10,3,3,some,0.125,0.1,0.15,0.175,0.65,0.725,0.375,0.825
3,M,35,4,English,hyperbolic,10,Yvonne,George,bananas,10,3,3,all,0.75,0.75,0.725,0.625,0.4,0.225,0.625,0.85
3,M,35,4,English,true-all,11,Zack,Heather,strawberries,100,10,100,all,0.95,0.95,0.975,0.95,0.15,0,0.95,0.025
3,M,35,4,English,true-some,12,Ivan,Wendy,blueberries,100,8,83,some,0.375,0.4,0.375,0.35,0.325,0.5,0.275,0.75
4,F,35,6,English,true-some,1,Edward,Matt,M&M's,100,3,36,some,0.275,0.275,0.65,0.45,0.5,0.325,0.425,0.5
4,F,35,6,English,literal-some,2,Frank,Barbara,pies,10,10,10,some,0.375,0.3,0.4,0.275,0.425,0.625,0.825,0.5
4,F,35,6,English,true-some,3,Bob,Tracy,cookies,100,8,89,some,0.025,0.225,0.25,0.05,0.4,0.575,0.675,0.8
4,F,35,6,English,hyperbolic,4,Nancy,Ivan,strawberries,100,3,36,all,0.575,0.8,0.75,0.65,0.2,0.325,0.325,0.225
4,F,35,6,English,hyperbolic,5,Mary,Ann,M&M's,10,8,8,all,0.675,0.7,0.425,0.25,0.4,0.325,0.6,0.075
4,F,35,6,English,hyperbolic,6,David,Olga,cookies,10,3,3,all,0.65,0.825,1,0.2,0,0.375,0.2,0
4,F,35,6,English,true-all,7,Patty,Albert,pies,10,10,10,all,0.75,0.9,0.575,0.575,0.4,0.3,0.625,0
4,F,35,6,English,true-some,8,Yvonne,Stephanie,bananas,10,8,8,some,0.25,0.05,0.25,0,0.8,0.7,0.45,0.675
4,F,35,6,English,hyperbolic,9,Jane,Victor,strawberries,100,8,86,all,0.75,0.775,0.525,0.625,0,0.15,0.875,0.2
4,F,35,6,English,literal-some,10,Tom,Zack,blueberries,100,10,100,some,0.025,0.15,0.325,0,0.3,0.45,0.85,0.625
4,F,35,6,English,true-all,11,Emma,Fiona,cookies,100,10,100,all,0.775,0.775,0.375,0.575,0.275,0.275,0.75,0
4,F,35,6,English,true-some,12,Rebecca,Calvin,blueberries,10,3,3,some,0,0,0,0,0.925,0.75,0.725,0.3
5,F,25,0,English,hyperbolic,1,George,Olga,M&M's,10,8,8,all,0.775,1,0.775,0.175,0.1,0.175,0.775,0.375
5,F,25,0,English,true-some,2,Heather,Zack,blueberries,100,8,87,some,0.275,0.575,0.15,0.025,0.1,0,0.825,0.4
5,F,25,0,English,hyperbolic,3,Frank,Grace,blueberries,10,3,3,all,0.675,1,0.5,0,0,0,0,0
5,F,25,0,English,hyperbolic,4,Victor,Robert,bananas,100,8,88,all,0.7,1,0,0.8,0,0.05,0.75,0
5,F,25,0,English,literal-some,5,Nathan,Fiona,pies,100,10,100,some,0.325,0.75,0.1,0,0,0,0.375,0
5,F,25,0,English,true-some,6,Cathy,Albert,pies,10,3,3,some,0,0.525,0,0,0,0,0.4,0.4
5,F,25,0,English,true-some,7,Nancy,Barbara,cookies,100,3,38,some,0.025,0,0.05,0.025,0.025,0.25,0.35,1
5,F,25,0,English,true-all,8,Patrick,Jake,cookies,100,10,100,all,1,1,0.775,0.575,0.025,0.025,0.625,0
5,F,25,0,English,true-all,9,Lena,Ann,blueberries,10,10,10,all,0.4,1,0.125,0.025,0,0,0.625,0
5,F,25,0,English,literal-some,10,Stephanie,Henry,M&M's,10,10,10,some,0.025,0.65,0,0,0,0,0,0.975
5,F,25,0,English,true-some,11,Larry,Bob,strawberries,10,8,8,some,0,0.35,0.175,0.025,0.025,0,0,0.65
5,F,25,0,English,hyperbolic,12,Tom,Winston,M&M's,100,3,38,all,0.725,0.9,0.7,0.025,0,0.025,0.5,0
6,F,35,0,english,literal-some,1,Kathy,Olga,bananas,100,10,100,some,0.925,1,0.925,1,0.1,0.075,0.825,0.125
6,F,35,0,english,true-some,2,Matt,Barbara,pies,100,8,83,some,0.95,1,0.9,0.975,0.15,0.15,0.825,0.325
6,F,35,0,english,hyperbolic,3,Rebecca,Jane,M&M's,100,3,31,all,0.3,0.225,0.3,0.325,0.425,0.475,0.325,0.5
6,F,35,0,english,true-some,4,Ann,Patrick,M&M's,100,3,37,some,0.225,0.25,0.25,0.25,0.575,0.575,0.55,0.275
6,F,35,0,english,hyperbolic,5,Larry,Victoria,bananas,10,3,3,all,0.45,0.625,0.425,0.4,0.375,0.5,0.625,0.5
6,F,35,0,english,true-all,6,Albert,Patty,bananas,100,10,100,all,1,1,0.975,0.95,0.175,0.275,0.975,0.25
6,F,35,0,english,hyperbolic,7,Yvonne,Iris,strawberries,10,8,8,all,0.8,0.95,0.75,0.325,0.25,0.3,0.425,0.25
6,F,35,0,english,true-some,8,Mary,Victor,pies,10,3,3,some,0.6,0.6,0.675,0.425,0.35,0.425,0.675,0.25
6,F,35,0,english,true-all,9,Ivan,Grace,blueberries,10,10,10,all,0.625,0.625,0.625,0.6,0.45,0.125,0.625,0.35
