quantifier,food,totalQuant,eatenQuant,affect,probability
some,blueberries,10,0,0,0.030531352685238704
some,blueberries,10,0,1,0.0032192243134646537
some,blueberries,10,1,0,0.1724034690075059
some,blueberries,10,1,1,0.031720942636605076
some,blueberries,10,2,0,0.13014771777709494
some,blueberries,10,2,1,0.015694818666453437
some,blueberries,10,3,0,0.10574378665969736
some,blueberries,10,3,1,0.02091892385929589
some,blueberries,10,4,0,0.07952584427780729
some,blueberries,10,4,1,0.026399818897269847
some,blueberries,10,5,0,0.04757044857686381
some,blueberries,10,5,1,0.044376415274026935
some,blueberries,10,6,0,0.05796772985251207
some,blueberries,10,6,1,0.020787473241682154
some,blueberries,10,7,0,0.04347591523802312
some,blueberries,10,7,1,0.024492523463847133
some,blueberries,10,8,0,0.03385202203183779
some,blueberries,10,8,1,0.029363011761359168
some,blueberries,10,9,0,0.03183921219496174
some,blueberries,10,9,1,0.030306421323897468
some,blueberries,10,10,0,0.009032374039542936
some,blueberries,10,10,1,0.010630554221012513
all,blueberries,10,0,0,0.0567169933472287
all,blueberries,10,0,1,0.026372618186931183
all,blueberries,10,1,0,0.08088902450895175
all,blueberries,10,1,1,0.035939227627441256
all,blueberries,10,2,0,0.06106328366627721
all,blueberries,10,2,1,0.017781932494470545
all,blueberries,10,3,0,0.04961333898921276
all,blueberries,10,3,1,0.023700744801725387
all,blueberries,10,4,0,0.037312288458665376
all,blueberries,10,4,1,0.029910495143272646
all,blueberries,10,5,0,0.02231931412394166
all,blueberries,10,5,1,0.050277638596486665
all,blueberries,10,6,0,0.027197556683525897
all,blueberries,10,6,1,0.02355181373992472
all,blueberries,10,7,0,0.02039822280539177
all,blueberries,10,7,1,0.027749565516438125
all,blueberries,10,8,0,0.01588284189160768
all,blueberries,10,8,1,0.03326773657416328
all,blueberries,10,9,0,0.014938462841904001
all,blueberries,10,9,1,0.03433660175267921
all,blueberries,10,10,0,0.09157814965361642
all,blueberries,10,10,1,0.2192021485961438
some,blueberries,100,0,0,0.2879416519024922
some,blueberries,100,0,1,0.021133281093783863
some,blueberries,100,1,0,0.20382305448210802
