quantifier,food,totalQuant,eatenQuant,affect,probability
some,blueberries,10,0,0,0.06667089718717079
some,blueberries,10,0,1,0.012837997579990242
some,blueberries,10,1,0,0.16615493839217216
some,blueberries,10,1,1,0.032570362658929555
some,blueberries,10,2,0,0.12543068972813742
some,blueberries,10,2,1,0.016115092848553336
some,blueberries,10,3,0,0.10191124609582002
some,blueberries,10,3,1,0.021479088573665435
some,blueberries,10,4,0,0.07664353758443962
some,blueberries,10,4,1,0.027106750435023176
some,blueberries,10,5,0,0.04584632199154113
some,blueberries,10,5,1,0.045564722194302555
some,blueberries,10,6,0,0.055866767866248036
some,blueberries,10,6,1,0.021344117985418198
some,blueberries,10,7,0,0.04190018947706052
some,blueberries,10,7,1,0.025148381647690513
some,blueberries,10,8,0,0.03262510126699124
some,blueberries,10,8,1,0.030149291361923937
some,blueberries,10,9,0,0.020087969365652197
some,blueberries,10,9,1,0.019046564339115685
some,blueberries,10,10,0,0.006633136686043652
some,blueberries,10,10,1,0.008866834734110544
all,blueberries,10,0,0,0.040967421398518104
all,blueberries,10,0,1,0.01904928485950891
all,blueberries,10,1,0,0.05842719365051118
all,blueberries,10,1,1,0.025959371187693456
all,blueberries,10,2,0,0.04410680338110447
all,blueberries,10,2,1,0.01284412093781363
all,blueberries,10,3,0,0.03583635953540758
all,blueberries,10,3,1,0.017119355989248033
all,blueberries,10,4,0,0.02695115087062168
all,blueberries,10,4,1,0.021604739363932656
all,blueberries,10,5,0,0.016121530657373827
all,blueberries,10,5,1,0.03631619177509364
all,blueberries,10,6,0,0.019645148656642086
all,blueberries,10,6,1,0.017011781147775677
all,blueberries,10,7,0,0.014733901431151568
all,blueberries,10,7,1,0.02004387181065646
all,blueberries,10,8,0,0.011472383114457215
all,blueberries,10,8,1,0.024029718480752887
all,blueberries,10,9,0,0.06453973555991775
all,blueberries,10,9,1,0.08602804417478738
all,blueberries,10,10,0,0.1187146639468067
all,blueberries,10,10,1,0.26847722807022517
some,blueberries,100,0,0,0.2828305384571814
some,blueberries,100,0,1,0.023029516631051915
some,blueberries,100,1,0,0.200205089705756
some,blueberries,100,1,1,0.055923250986376356
some,blueberries,100,2,0,0.0877299303577508
some,blueberries,100,2,1,0.05380600195743419
some,blueberries,100,3,0,0.06072156003364714
some,blueberries,100,3,1,0.027938447116219973
some,blueberries,100,4,0,0.0391619415230334
some,blueberries,100,4,1,0.02983486493347285
some,blueberries,100,5,0,0.022229823261417776
some,blueberries,100,5,1,0.024707572456687085
some,blueberries,100,6,0,0.02046528282633612
some,blueberries,100,6,1,0.013429131265368035
some,blueberries,100,7,0,0.009405766935201077
some,blueberries,100,7,1,0.015801615640420524
some,blueberries,100,8,0,0.00772322580772907
some,blueberries,100,8,1,0.012344462814295132
some,blueberries,100,9,0,0.003272843029190317
some,blueberries,100,9,1,0.007847842364396902
some,blueberries,100,10,0,0.00042059737761872317
some,blueberries,100,10,1,0.0011706945194152425
all,blueberries,100,0,0,0.08858814935556278
all,blueberries,100,0,1,0.042683008093957836
all,blueberries,100,1,0,0.06270821561683106
all,blueberries,100,1,1,0.10364840099481099
all,blueberries,100,2,0,0.027478758891738817
all,blueberries,100,2,1,0.09972428226982605
all,blueberries,100,3,0,0.01901920018505315
all,blueberries,100,3,1,0.051781241590903526
all,blueberries,100,4,0,0.012266298906832953
all,blueberries,100,4,1,0.05529607077034832
all,blueberries,100,5,0,0.006962822734675734
all,blueberries,100,5,1,0.04579312419127635
all,blueberries,100,6,0,0.006410133578619098
all,blueberries,100,6,1,0.024889611348666164
all,blueberries,100,7,0,0.0029460732585825534
all,blueberries,100,7,1,0.029286784394261627
all,blueberries,100,8,0,0.0024190679164068462
all,blueberries,100,8,1,0.022879282038758688
all,blueberries,100,9,0,0.02278692237712703
all,blueberries,100,9,1,0.09336233578313505
all,blueberries,100,10,0,0.018279857879179788
all,blueberries,100,10,1,0.16079035782344564
some,M&M's,10,0,0,0.04163946296460235
some,M&M's,10,0,1,0.008416831623181159
some,M&M's,10,1,0,0.12228385660919924
some,M&M's,10,1,1,0.014449717221382906
some,M&M's,10,2,0,0.1151903020803401
some,M&M's,10,2,1,0.015623121076275193
some,M&M's,10,3,0,0.09184669279218301
some,M&M's,10,3,1,0.030174757383827397
some,M&M's,10,4,0,0.07964527614938118
some,M&M's,10,4,1,0.03243863083793949
some,M&M's,10,5,0,0.0642234885426919
some,M&M's,10,5,1,0.0335256407322497
some,M&M's,10,6,0,0.05720260209423226
some,M&M's,10,6,1,0.04012290728210569
some,M&M's,10,7,0,0.050079631244074684
some,M&M's,10,7,1,0.04013029691933616
some,M&M's,10,8,0,0.04154557104311569
some,M&M's,10,8,1,0.04288644771509051
some,M&M's,10,9,0,0.021731140541384055
some,M&M's,10,9,1,0.02938198562421518
some,M&M's,10,10,0,0.014243561183953405
some,M&M's,10,10,1,0.013218078339238895
all,M&M's,10,0,0,0.027549697147273584
all,M&M's,10,0,1,0.008620471579677758
all,M&M's,10,1,0,0.04557332268080363
all,M&M's,10,1,1,0.008065811822540936
all,M&M's,10,2,0,0.0429296634238772
all,M&M's,10,2,1,0.00872080420338834
all,M&M's,10,3,0,0.034229857348708356
all,M&M's,10,3,1,0.01684350711643106
all,M&M's,10,4,0,0.029682576021113193
all,M&M's,10,4,1,0.018107198093296164
all,M&M's,10,5,0,0.023935111699959318
all,M&M's,10,5,1,0.018713965486901064
all,M&M's,10,6,0,0.021318534724933967
all,M&M's,10,6,1,0.022396550392821433
all,M&M's,10,7,0,0.01866391245506545
all,M&M's,10,7,1,0.02240067527792642
all,M&M's,10,8,0,0.015483398770755873
all,M&M's,10,8,1,0.023939154774272817
all,M&M's,10,9,0,0.05897228317511011
all,M&M's,10,9,1,0.09191113082765705
all,M&M's,10,10,0,0.20591766233958958
all,M&M's,10,10,1,0.23602471063789676
some,M&M's,100,0,0,0.20497277340170872
some,M&M's,100,0,1,0.03424608116256168
some,M&M's,100,1,0,0.15568672033403255
some,M&M's,100,1,1,0.04016837496876082
some,M&M's,100,2,0,0.12478103743746993
some,M&M's,100,2,1,0.047933911797419466
some,M&M's,100,3,0,0.06788251081840894
some,M&M's,100,3,1,0.0549046659072732
some,M&M's,100,4,0,0.04543599828041112
some,M&M's,100,4,1,0.03484952549311071
some,M&M's,100,5,0,0.02698394340590881
some,M&M's,100,5,1,0.032281458549480065
some,M&M's,100,6,0,0.025813319213070753
some,M&M's,100,6,1,0.02323573363278263
some,M&M's,100,7,0,0.013559950101883066
some,M&M's,100,7,1,0.024674249262684647
some,M&M's,100,8,0,0.009129215487793194
some,M&M's,100,8,1,0.019955417480633595
some,M&M's,100,9,0,0.002561409404663886
some,M&M's,100,9,1,0.009146293927277305
some,M&M's,100,10,0,0.0007196880891215612
some,M&M's,100,10,1,0.001077721843543359
all,M&M's,100,0,0,0.10630418195715288
all,M&M's,100,0,1,0.04605915700922717
all,M&M's,100,1,0,0.08074316004041246
all,M&M's,100,1,1,0.05402432706707025
all,M&M's,100,2,0,0.0647146735071914
all,M&M's,100,2,1,0.06446856091544234
all,M&M's,100,3,0,0.03520562590820847
all,M&M's,100,3,1,0.07384385429556385
all,M&M's,100,4,0,0.023564283921453943
all,M&M's,100,4,1,0.04687075752594472
all,M&M's,100,5,0,0.013994570996614785
all,M&M's,100,5,1,0.04341684412763744
all,M&M's,100,6,0,0.013387455011727278
all,M&M's,100,6,1,0.03125082541668721
all,M&M's,100,7,0,0.007032540854269746
all,M&M's,100,7,1,0.03318555239883071
all,M&M's,100,8,0,0.004734647281365888
all,M&M's,100,8,1,0.0268389747300484
all,M&M's,100,9,0,0.016740083783242227
all,M&M's,100,9,1,0.08190948222814984
all,M&M's,100,10,0,0.03190882556815477
all,M&M's,100,10,1,0.09980161545560425
some,strawberries,10,0,0,0.077696949567866
some,strawberries,10,0,1,0.007829523889263989
some,strawberries,10,1,0,0.2166960792796259
some,strawberries,10,1,1,0.03757895557289455
some,strawberries,10,2,0,0.15017906987845295
some,strawberries,10,2,1,0.025494438003765312
some,strawberries,10,3,0,0.11122150004564534
some,strawberries,10,3,1,0.04678720595573495
some,strawberries,10,4,0,0.07603409817028353
some,strawberries,10,4,1,0.0361824345184601
some,strawberries,10,5,0,0.04425444255040883
some,strawberries,10,5,1,0.027941968608009495
some,strawberries,10,6,0,0.022994576411116123
some,strawberries,10,6,1,0.028305432788374104
some,strawberries,10,7,0,0.017324170766835685
some,strawberries,10,7,1,0.02266727733283856
some,strawberries,10,8,0,0.011251324412919827
some,strawberries,10,8,1,0.019915613615028097
some,strawberries,10,9,0,0.0058507821932508855
some,strawberries,10,9,1,0.010464863439574453
some,strawberries,10,10,0,0.0015703987847453798
some,strawberries,10,10,1,0.001758894214906053
all,strawberries,10,0,0,0.0709120759068293
all,strawberries,10,0,1,0.016845117256796438
all,strawberries,10,1,0,0.11304821976228886
all,strawberries,10,1,1,0.04342525048729325
all,strawberries,10,2,0,0.07834694818547058
all,strawberries,10,2,1,0.029460700529549147
all,strawberries,10,3,0,0.05802316599935687
all,strawberries,10,3,1,0.05406606190231257
all,strawberries,10,4,0,0.03966624346853062
all,strawberries,10,4,1,0.041811467568767025
all,strawberries,10,5,0,0.023087108744780052
all,strawberries,10,5,1,0.032289002379462244
all,strawberries,10,6,0,0.011996045042006475
all,strawberries,10,6,1,0.032709012005458254
all,strawberries,10,7,0,0.009037850018141965
all,strawberries,10,7,1,0.026193708181540078
all,strawberries,10,8,0,0.005869705622164231
all,strawberries,10,8,1,0.023013958122469678
all,strawberries,10,9,0,0.03285894703833927
all,strawberries,10,9,1,0.07768730367332083
all,strawberries,10,10,0,0.05819974461109229
all,strawberries,10,10,1,0.12145236349403
some,strawberries,100,0,0,0.3640850817982837
some,strawberries,100,0,1,0.026554663882630315
some,strawberries,100,1,0,0.18114429562987733
some,strawberries,100,1,1,0.080471983157832
some,strawberries,100,2,0,0.06886191344676651
some,strawberries,100,2,1,0.03584144600128051
some,strawberries,100,3,0,0.0384089583743561
some,strawberries,100,3,1,0.028827925322825448
some,strawberries,100,4,0,0.02226897067232284
some,strawberries,100,4,1,0.03183480349291476
some,strawberries,100,5,0,0.01203863489369789
some,strawberries,100,5,1,0.024771420345144294
some,strawberries,100,6,0,0.010479671018365942
some,strawberries,100,6,1,0.017456249534220612
some,strawberries,100,7,0,0.009752349796372193
some,strawberries,100,7,1,0.014333587433410656
some,strawberries,100,8,0,0.006316813176152574
some,strawberries,100,8,1,0.014918720621983511
some,strawberries,100,9,0,0.0033942106772809682
some,strawberries,100,9,1,0.0069365640428357255
some,strawberries,100,10,0,0.000369653925405339
some,strawberries,100,10,1,0.0009320827560407701
all,strawberries,100,0,0,0.12711907668124503
all,strawberries,100,0,1,0.04819164682864141
all,strawberries,100,1,0,0.06324591903851264
