quantifier,food,totalQuant,eatenQuant,probability
some,cookies,100,3,0.009942665728473675
some,cookies,100,4,0.00470063814910368
some,cookies,100,5,0.002701979516203393
some,cookies,100,6,0.0014519107085704678
some,cookies,100,7,0.0010241470570084656
some,cookies,100,8,0.0006922478243775184
some,cookies,100,9,0.0005413345472229907
some,cookies,100,10,0.00030778300387238815
all,cookies,100,0,0.19469710713888833
all,cookies,100,1,0.032981258734728104
all,cookies,100,2,0.008332074388914434
all,cookies,100,3,0.0023977963354037766
all,cookies,100,4,0.0011336168021521388
all,cookies,100,5,0.000651615649084397
all,cookies,100,6,0.00035014615510745907
all,cookies,100,7,0.00024698568042741967
all,cookies,100,8,0.00016694409143517072
all,cookies,100,9,0.0001305494953774342
all,cookies,100,10,0.7589119055284813
some,bananas,10,0,0.003077360656929279
some,bananas,10,1,0.6709983310367118
some,bananas,10,2,0.19091231438930845
some,bananas,10,3,0.07832294619188654
some,bananas,10,4,0.030365042087356315
some,bananas,10,5,0.011939564660639074
some,bananas,10,6,0.006393131022561911
some,bananas,10,7,0.0026845069944655586
some,bananas,10,8,0.002449652397337478
some,bananas,10,9,0.001977173815610284
some,bananas,10,10,0.0008799767471934702
all,bananas,10,0,0.042853728697772486
all,bananas,10,1,0.07176483411416673
all,bananas,10,2,0.020418516617369598
all,bananas,10,3,0.008376821492401024
all,bananas,10,4,0.0032476119648494196
all,bananas,10,5,0.0012769642451156125
all,bananas,10,6,0.000683760251080545
all,bananas,10,7,0.00028711427469348003
all,bananas,10,8,0.00026199602860513873
all,bananas,10,9,0.00021146334398912636
all,bananas,10,10,0.8506171889699569
some,bananas,100,0,0.9753590268751181
some,bananas,100,1,0.016260457363385657
some,bananas,100,2,0.0037040336015241445
some,bananas,100,3,0.0009160977718899893
some,bananas,100,4,0.0007954924611697103
some,bananas,100,5,0.000651541102522671
some,bananas,100,6,0.0004334831113258487
some,bananas,100,7,0.00047707216970106325
some,bananas,100,8,0.00044424615334423876
some,bananas,100,9,0.0003722130780033244
some,bananas,100,10,0.0005863363120152367
all,bananas,100,0,0.22801864936615598
all,bananas,100,1,0.00380135665320487
all,bananas,100,2,0.0008659259982781013
all,bananas,100,3,0.00021416460080647367
all,bananas,100,4,0.0001859695882018027
all,bananas,100,5,0.00015231675527700554
all,bananas,100,6,0.00010133933335731
all,bananas,100,7,0.00011152954838992437
all,bananas,100,8,0.00010385550866966349
all,bananas,100,9,0.00008701567421245002
all,bananas,100,10,0.7663578769734464
some,pies,10,0,0.007467973329120768
some,pies,10,1,0.7542525681629255
some,pies,10,2,0.16272291891070348
some,pies,10,3,0.0351287455547947
some,pies,10,4,0.01895123224993815
some,pies,10,5,0.006040789810137312
some,pies,10,6,0.004594709014068853
some,pies,10,7,0.003988353650647126
some,pies,10,8,0.003308293477827196
some,pies,10,9,0.0024073617622394575
some,pies,10,10,0.0011370540775976832
all,pies,10,0,0.09443889642961395
all,pies,10,1,0.06166385523621834
all,pies,10,2,0.013303398541636854
all,pies,10,3,0.0028719476365811894
all,pies,10,4,0.0015493563977573488
all,pies,10,5,0.0004938642625665767
all,pies,10,6,0.00037564004877857856
all,pies,10,7,0.0003260675170697232
all,pies,10,8,0.0002704692548711283
all,pies,10,9,0.00019681365828094205
all,pies,10,10,0.8245096910166254
some,pies,100,0,0.9749757097028717
some,pies,100,1,0.01920438844495849
some,pies,100,2,0.0018645616897553577
some,pies,100,3,0.0012475174863141615
some,pies,100,4,0.0008055614696737496
some,pies,100,5,0.0006260323992726926
some,pies,100,6,0.000341386587540495
some,pies,100,7,0.0003597129697423054
some,pies,100,8,0.00023018499267911854
some,pies,100,9,0.00019166381241727504
some,pies,100,10,0.0001532804447746366
all,pies,100,0,0.36953139569658044
all,pies,100,1,0.007278770532373072
all,pies,100,2,0.0007066987174353834
all,pies,100,3,0.00047282909028990275
all,pies,100,4,0.0003053206877314398
all,pies,100,5,0.00023727629719618205
all,pies,100,6,0.00012939097960130465
all,pies,100,7,0.00013633697171752676
all,pies,100,8,0.0000872437956829143
all,pies,100,9,0.0000726436519415112
all,pies,100,10,0.6210420935794505
