quantifier,food,totalQuant,eatenQuant,affect,probability
some,blueberries,10,0,0,0.07562927548887585
some,blueberries,10,0,1,0.01369595014645691
some,blueberries,10,1,0,0.16386940640055547
some,blueberries,10,1,1,0.030544597241449364
some,blueberries,10,2,0,0.12370533713327467
some,blueberries,10,2,1,0.015112789062932713
some,blueberries,10,3,0,0.10050941347193643
some,blueberries,10,3,1,0.02014316255751479
some,blueberries,10,4,0,0.07558927306004459
some,blueberries,10,4,1,0.025420803054376453
some,blueberries,10,5,0,0.04521568629317682
some,blueberries,10,5,1,0.04273075195439785
some,blueberries,10,6,0,0.05509829666423562
some,blueberries,10,6,1,0.020016586679296157
some,blueberries,10,7,0,0.04132383451324602
some,blueberries,10,7,1,0.02358423812307066
some,blueberries,10,8,0,0.03217632909448172
some,blueberries,10,8,1,0.028274108317691688
some,blueberries,10,9,0,0.021911765780791848
some,blueberries,10,9,1,0.019669430287108877
some,blueberries,10,10,0,0.01079438604868062
some,blueberries,10,10,1,0.014984578626405108
all,blueberries,10,0,0,0.06631528252446382
all,blueberries,10,0,1,0.023819553200477538
all,blueberries,10,1,0,0.09457797737265844
all,blueberries,10,1,1,0.032460043913278364
all,blueberries,10,2,0,0.07139710110177269
all,blueberries,10,2,1,0.016060509580699628
all,blueberries,10,3,0,0.05800946767239739
all,blueberries,10,3,1,0.021406336970191106
all,blueberries,10,4,0,0.04362669465961015
all,blueberries,10,4,1,0.027014937435027253
all,blueberries,10,5,0,0.026096440141317335
all,blueberries,10,5,1,0.04541039038501145
all,blueberries,10,6,0,0.031800233915806955
all,blueberries,10,6,1,0.021271823539457006
all,blueberries,10,7,0,0.023850240086864774
all,blueberries,10,7,1,0.025063201818789526
all,blueberries,10,8,0,0.018570715497647564
all,blueberries,10,8,1,0.03004717300235425
all,blueberries,10,9,0,0.0420280079944022
all,blueberries,10,9,1,0.0589906610069662
all,blueberries,10,10,0,0.06572424788634487
all,blueberries,10,10,1,0.15645896029446127
some,blueberries,100,0,0,0.28766341474603835
some,blueberries,100,0,1,0.021671657448680368
some,blueberries,100,1,0,0.20362610087458322
some,blueberries,100,1,1,0.05262592169039228
some,blueberries,100,2,0,0.08922901847801483
some,blueberries,100,2,1,0.05063350923884662
some,blueberries,100,3,0,0.06175914172234955
some,blueberries,100,3,1,0.02629114910446711
some,blueberries,100,4,0,0.039831122509092015
some,blueberries,100,4,1,0.028075750925404302
some,blueberries,100,5,0,0.02260967611016469
some,blueberries,100,5,1,0.023250772269696338
some,blueberries,100,6,0,0.020814984031360426
some,blueberries,100,6,1,0.012637327012934624
some,blueberries,100,7,0,0.009566488292405327
some,blueberries,100,7,1,0.01486992570365823
some,blueberries,100,8,0,0.00785519668712303
some,blueberries,100,8,1,0.011616612445033207
some,blueberries,100,9,0,0.0037303135567194503
some,blueberries,100,9,1,0.0081792998937205
some,blueberries,100,10,0,0.0007626508672901234
some,blueberries,100,10,1,0.00269996639202507
all,blueberries,100,0,0,0.17956570068493855
all,blueberries,100,0,1,0.03696741005992626
all,blueberries,100,1,0,0.1271077989307991
all,blueberries,100,1,1,0.0897690465769503
all,blueberries,100,2,0,0.055698675615664876
all,blueberries,100,2,1,0.08637039890640598
all,blueberries,100,3,0,0.03855138675477621
all,blueberries,100,3,1,0.04484731692502277
all,blueberries,100,4,0,0.024863444761396222
all,blueberries,100,4,1,0.04789148221161895
all,blueberries,100,5,0,0.014113446913523961
all,blueberries,100,5,1,0.03966105660073383
all,blueberries,100,6,0,0.012993161454461652
all,blueberries,100,6,1,0.0215566922306159
all,blueberries,100,7,0,0.005971608085222041
all,blueberries,100,7,1,0.02536504844401017
all,blueberries,100,8,0,0.004903382998448121
all,blueberries,100,8,1,0.019815562182067183
all,blueberries,100,9,0,0.00985985311595769
all,blueberries,100,9,1,0.04343355252990295
all,blueberries,100,10,0,0.006756752497362485
all,blueberries,100,10,1,0.06393722152019472
some,M&M's,10,0,0,0.04680482739678908
some,M&M's,10,0,1,0.009163172485240843
some,M&M's,10,1,0,0.11974231840901081
some,M&M's,10,1,1,0.01378321325330072
some,M&M's,10,2,0,0.11279619576781143
some,M&M's,10,2,1,0.014902492981508286
some,M&M's,10,3,0,0.0899377582462411
some,M&M's,10,3,1,0.028782924227225778
some,M&M's,10,4,0,0.07798993490147532
some,M&M's,10,4,1,0.030942374832275552
some,M&M's,10,5,0,0.06288867253339422
some,M&M's,10,5,1,0.031979245585673714
some,M&M's,10,6,0,0.05601370764484232
some,M&M's,10,6,1,0.038272208302685976
some,M&M's,10,7,0,0.04903878006888701
some,M&M's,10,7,1,0.038279257087395845
some,M&M's,10,8,0,0.0406820911138543
some,M&M's,10,8,1,0.040908278375087245
some,M&M's,10,9,0,0.023423235063976824
some,M&M's,10,9,1,0.030666530467431244
some,M&M's,10,10,0,0.022400991088935063
some,M&M's,10,10,1,0.020601790166957346
all,M&M's,10,0,0,0.04340849089000221
all,M&M's,10,0,1,0.012040763284740224
all,M&M's,10,1,0,0.07180729253906054
all,M&M's,10,1,1,0.01126603457326228
all,M&M's,10,2,0,0.06764182900757057
all,M&M's,10,2,1,0.01218090426898568
all,M&M's,10,3,0,0.0539340393814285
all,M&M's,10,3,1,0.02352640226224897
all,M&M's,10,4,0,0.046769146822791936
all,M&M's,10,4,1,0.0252914801674259
all,M&M's,10,5,0,0.0377131941823067
all,M&M's,10,5,1,0.026138990943114636
all,M&M's,10,6,0,0.033590402662087834
all,M&M's,10,6,1,0.03128269250494984
all,M&M's,10,7,0,0.029407665334632724
all,M&M's,10,7,1,0.03128845399545148
all,M&M's,10,8,0,0.024396310815821158
all,M&M's,10,8,1,0.03343734657780203
all,M&M's,10,9,0,0.042518465897441036
all,M&M's,10,9,1,0.06844899708476684
all,M&M's,10,10,0,0.12570709978204772
all,M&M's,10,10,1,0.148203997022061
some,M&M's,100,0,0,0.20742065191894216
some,M&M's,100,0,1,0.03303206920220471
some,M&M's,100,1,0,0.1575460022854814
some,M&M's,100,1,1,0.03874441970191733
some,M&M's,100,2,0,0.12627122960217593
some,M&M's,100,2,1,0.046234670884202814
some,M&M's,100,3,0,0.06869319477984705
some,M&M's,100,3,1,0.05295831412546111
some,M&M's,100,4,0,0.045978615732738315
some,M&M's,100,4,1,0.03361412163593441
some,M&M's,100,5,0,0.02730619798771181
some,M&M's,100,5,1,0.031137091794323276
some,M&M's,100,6,0,0.02612159366587493
some,M&M's,100,6,1,0.022412034757458326
some,M&M's,100,7,0,0.013721889221885625
some,M&M's,100,7,1,0.023799555496249392
some,M&M's,100,8,0,0.009238240750519027
some,M&M's,100,8,1,0.019248004700163693
some,M&M's,100,9,0,0.002909809133115005
some,M&M's,100,9,1,0.009805145947208365
some,M&M's,100,10,0,0.0013785906390071955
some,M&M's,100,10,1,0.002428556037578131
all,M&M's,100,0,0,0.15052014862222143
all,M&M's,100,0,1,0.04395192863239016
all,M&M's,100,1,0,0.1143273220841801
all,M&M's,100,1,1,0.05155268836529271
all,M&M's,100,2,0,0.09163197623088017
all,M&M's,100,2,1,0.06151909353922332
