food,quantifier,eatenQuant,upset,happy,surprised,probability
M&M's,all,3,0,1,0,0.030073434056450542
M&M's,all,3,0,1,1,0.010540472815287605
M&M's,all,3,1,0,0,0.008899515841752073
M&M's,all,3,1,0,1,0.003038271060572754
M&M's,all,3,1,1,0,0.007508839624321587
M&M's,all,3,1,1,1,0.0025796571906633917
M&M's,all,4,0,0,0,0.012590988766511015
M&M's,all,4,0,0,1,0.009514087167143487
M&M's,all,4,0,1,0,0.014613672766479598
M&M's,all,4,0,1,1,0.011136307295594196
M&M's,all,4,1,0,0,0.008217992356469283
M&M's,all,4,1,0,1,0.006100011134137334
M&M's,all,4,1,1,0,0.009630895998058666
M&M's,all,4,1,1,1,0.007193837429939179
M&M's,all,5,0,0,0,0.023675845983861403
M&M's,all,5,0,0,1,0.016106382437523957
M&M's,all,5,0,1,0,0.019004682107069414
M&M's,all,5,0,1,1,0.013038500525632778
M&M's,all,5,1,0,0,0.008557219264453703
M&M's,all,5,1,0,1,0.00571850843647479
M&M's,all,5,1,1,0,0.006935682147429433
M&M's,all,5,1,1,1,0.004664105003669994
M&M's,all,6,0,0,0,0.010132283411580408
M&M's,all,6,0,0,1,0.014926399644547091
M&M's,all,6,0,1,0,0.005296182184288751
M&M's,all,6,0,1,1,0.007868377556253438
M&M's,all,6,1,0,0,0.009664100573585988
M&M's,all,6,1,0,1,0.013985138846775564
M&M's,all,6,1,1,0,0.005100566876902789
M&M's,all,6,1,1,1,0.007427673740931228
M&M's,all,7,0,0,0,0.010731944778000624
M&M's,all,7,0,0,1,0.011722104846622807
M&M's,all,7,0,1,0,0.004080840869099905
M&M's,all,7,0,1,1,0.004495224340323879
M&M's,all,7,1,0,0,0.012791871929898302
M&M's,all,7,1,0,1,0.01372520627120917
M&M's,all,7,1,1,0,0.004911416348783887
M&M's,all,7,1,1,1,0.005302986973756093
M&M's,all,8,0,0,0,0.007371213381072939
M&M's,all,8,0,0,1,0.012625906526164635
M&M's,all,8,0,1,0,0.0024822519212441205
M&M's,all,8,0,1,1,0.00428789340517642
M&M's,all,8,1,0,0,0.010771468826560366
M&M's,all,8,1,0,1,0.01812408626033937
M&M's,all,8,1,1,0,0.0036625471081895193
M&M's,all,8,1,1,1,0.006201452797137962
M&M's,all,9,0,0,0,0.006794513918220665
M&M's,all,9,0,0,1,0.012263801323563346
M&M's,all,9,0,1,0,0.003505759533830968
M&M's,all,9,0,1,1,0.006381508850185735
M&M's,all,9,1,0,0,0.007864308899517497
M&M's,all,9,1,0,1,0.013943919998732764
M&M's,all,9,1,1,0,0.00409718631112184
M&M's,all,9,1,1,1,0.007310365029972438
M&M's,all,10,0,0,0,0.01946431162920377
M&M's,all,10,0,0,1,0.030311569043765103
M&M's,all,10,0,1,0,0.010023938681728937
M&M's,all,10,0,1,1,0.015624680091607557
M&M's,all,10,1,0,0,0.022505812237981225
M&M's,all,10,1,0,1,0.034969672190960484
M&M's,all,10,1,1,0,0.011602769724158444
M&M's,all,10,1,1,1,0.018043563407598443
cookies,some,0,0,0,0,0.009921852458679428
cookies,some,0,0,0,1,0.00865570259985676
cookies,some,0,0,1,0,0.004287740806326363
cookies,some,0,0,1,1,0.003914809883712322
cookies,some,0,1,0,0,0.004589766505746661
cookies,some,0,1,0,1,0.0035809429171057283
cookies,some,0,1,1,0,0.002050747455775192
cookies,some,0,1,1,1,0.001731514169779961
cookies,some,1,0,0,0,0.06438035435280008
cookies,some,1,0,0,1,0.011489354645801895
cookies,some,1,0,1,0,0.14761589235878855
cookies,some,1,0,1,1,0.026507620967124983
cookies,some,1,1,0,0,0.006425915121271362
cookies,some,1,1,0,1,0.001133951495121686
cookies,some,1,1,1,0,0.014804196188927136
cookies,some,1,1,1,1,0.002631970674433613
cookies,some,2,0,0,0,0.05925123419620073
cookies,some,2,0,0,1,0.014678906767970982
cookies,some,2,0,1,0,0.08001016044975821
cookies,some,2,0,1,1,0.019945127443235428
cookies,some,2,1,0,0,0.010596292676943633
cookies,some,2,1,0,1,0.002595777580381331
cookies,some,2,1,1,0,0.014377116077757534
cookies,some,2,1,1,1,0.0035483138952298785
cookies,some,3,0,0,0,0.044642253131757695
cookies,some,3,0,0,1,0.015299721254370648
cookies,some,3,0,1,0,0.051506111107052055
cookies,some,3,0,1,1,0.017761986533491647
cookies,some,3,1,0,0,0.00974004994807522
cookies,some,3,1,0,1,0.0033007742117552572
cookies,some,3,1,1,0,0.01129129963280683
cookies,some,3,1,1,1,0.0038550967940355796
cookies,some,4,0,0,0,0.0248864670681939
cookies,some,4,0,0,1,0.014172599367894462
cookies,some,4,0,1,0,0.01779912611688104
cookies,some,4,0,1,1,0.010199533448924204
cookies,some,4,1,0,0,0.014922642205779775
cookies,some,4,1,0,1,0.008403287262530222
cookies,some,4,1,1,0,0.010723862883468273
cookies,some,4,1,1,1,0.006084031544537037
cookies,some,5,0,0,0,0.008576448599776526
cookies,some,5,0,0,1,0.011554211551704788
cookies,some,5,0,1,0,0.007781090982383228
cookies,some,5,0,1,1,0.010547965061547869
cookies,some,5,1,0,0,0.007373643194621937
cookies,some,5,1,0,1,0.009822729063049934
cookies,some,5,1,1,0,0.006721794274986999
cookies,some,5,1,1,1,0.009021359382115497
cookies,some,6,0,0,0,0.006097780653343503
cookies,some,6,0,0,1,0.009743306047608341
cookies,some,6,0,1,0,0.0038234733657853005
cookies,some,6,0,1,1,0.006147350544867017
cookies,some,6,1,0,0,0.004802108208417919
cookies,some,6,1,0,1,0.007587238030525128
cookies,some,6,1,1,0,0.0030254383441126165
cookies,some,6,1,1,1,0.004815892620399121
cookies,some,7,0,0,0,0.0032892887155541325
cookies,some,7,0,0,1,0.006848430569579568
cookies,some,7,0,1,0,0.0022753033341527317
cookies,some,7,0,1,1,0.004766764854181335
cookies,some,7,1,0,0,0.0036794173025825687
cookies,some,7,1,0,1,0.007575046954117016
cookies,some,7,1,1,0,0.0025573280841139257
cookies,some,7,1,1,1,0.005304316768792631
cookies,some,8,0,0,0,0.002227276925131968
cookies,some,8,0,0,1,0.0061660530629113405
cookies,some,8,0,1,0,0.0008562433690281519
cookies,some,8,0,1,1,0.002385204525046676
cookies,some,8,1,0,0,0.003891595591901567
cookies,some,8,1,0,1,0.010653148075955812
cookies,some,8,1,1,0,0.0015032139584757148
cookies,some,8,1,1,1,0.0041457946015008625
cookies,some,9,0,0,0,0.0013890889928195845
cookies,some,9,0,0,1,0.003854298480533772
cookies,some,9,0,1,0,0.0004131025577066806
cookies,some,9,0,1,1,0.0011533696551371134
cookies,some,9,1,0,0,0.0037470662481074476
cookies,some,9,1,0,1,0.010280727930632247
cookies,some,9,1,1,0,0.0011196680328056457
cookies,some,9,1,1,1,0.003094984615806735
cookies,some,10,0,0,0,0.000293293573139373
cookies,some,10,0,0,1,0.0012962730621176094
cookies,some,10,0,1,0,0.00012022347153059645
cookies,some,10,0,1,1,0.0005542882751653354
cookies,some,10,1,0,0,0.000526112704645032
cookies,some,10,1,0,1,0.002100575376655598
cookies,some,10,1,1,0,0.00022245913447391
cookies,some,10,1,1,1,0.0009541070701678052
cookies,all,0,0,0,0,0.018328389686625465
cookies,all,0,0,0,1,0.03286964505737526
cookies,all,0,0,1,0,0.005236719602434903
cookies,all,0,0,1,1,0.010401178164150494
cookies,all,0,1,0,0,0.014996111826332242
cookies,all,0,1,0,1,0.02444149223710192
cookies,all,0,1,1,0,0.004674518223985768
cookies,all,0,1,1,1,0.008049727344919655
cookies,all,1,0,0,0,0.046429992535939164
cookies,all,1,0,0,1,0.013823295883366601
cookies,all,1,0,1,0,0.07605345614582625
cookies,all,1,0,1,1,0.025077512507522246
cookies,all,1,1,0,0,0.007011114330587009
cookies,all,1,1,0,1,0.001897048273131352
cookies,all,1,1,1,0,0.012529408434297373
cookies,all,1,1,1,1,0.0035819305878263185
cookies,all,2,0,0,0,0.04273096023049666
cookies,all,2,0,0,1,0.017660771884359685
cookies,all,2,0,1,0,0.041222182325708935
cookies,all,2,0,1,1,0.01886907103214516
cookies,all,2,1,0,0,0.011561282406686243
cookies,all,2,1,0,1,0.004342615532921936
cookies,all,2,1,1,0,0.012167952730879216
cookies,all,2,1,1,1,0.004829010520517346
cookies,all,3,0,0,0,0.03219521701195588
cookies,all,3,0,0,1,0.018407698286994362
cookies,all,3,0,1,0,0.02653655849467227
cookies,all,3,0,1,1,0.01680371241178153
cookies,all,3,1,0,0,0.010627062835849061
cookies,all,3,1,0,1,0.0055220422084587125
cookies,all,3,1,1,0,0.009556297623189047
cookies,all,3,1,1,1,0.005246520890115459
cookies,all,4,0,0,0,0.01794768748693418
