food,quantifier,eatenQuant,upset,happy,surprised,probability
M&M's,some,0,0,0,0,0.007998666174214377
M&M's,some,0,0,0,1,0.0029483061212833635
M&M's,some,0,0,1,0,0.008929821258263235
M&M's,some,0,0,1,1,0.0032915310719424376
M&M's,some,0,1,0,0,0.0009310421125764133
M&M's,some,0,1,0,1,0.0003430680778016237
M&M's,some,0,1,1,0,0.0010394283440040633
M&M's,some,0,1,1,1,0.00038300613731850886
M&M's,some,1,0,0,0,0.01763885355213083
M&M's,some,1,0,0,1,0.00760925317147665
M&M's,some,1,0,1,0,0.018190206353993592
M&M's,some,1,0,1,1,0.00784710394568915
M&M's,some,1,1,0,0,0.00207441272615946
M&M's,some,1,1,0,1,0.0008947288432661301
M&M's,some,1,1,1,0,0.0021392545207545807
M&M's,some,1,1,1,1,0.0009226964071304798
M&M's,some,2,0,0,0,0.04832668996571746
M&M's,some,2,0,0,1,0.017340359549732908
M&M's,some,2,0,1,0,0.041285825055043794
M&M's,some,2,0,1,1,0.014813989349988949
M&M's,some,2,1,0,0,0.006443748802156443
M&M's,some,2,1,0,1,0.0023120684139342007
M&M's,some,2,1,1,0,0.0055049391411731395
M&M's,some,2,1,1,1,0.001975216081748324
M&M's,some,3,0,0,0,0.053803688876049575
M&M's,some,3,0,0,1,0.01620723235142882
M&M's,some,3,0,1,0,0.04803307394902187
M&M's,some,3,0,1,1,0.01446895608351056
M&M's,some,3,1,0,0,0.011390183427725001
M&M's,some,3,1,0,1,0.00343098290574188
M&M's,some,3,1,1,0,0.010168550469453122
M&M's,some,3,1,1,1,0.0030629992943172605
M&M's,some,4,0,0,0,0.018823219060935984
M&M's,some,4,0,0,1,0.012328080464506935
M&M's,some,4,0,1,0,0.023340853703023006
M&M's,some,4,0,1,1,0.015286860847336112
M&M's,some,4,1,0,0,0.010517925021121036
M&M's,some,4,1,0,1,0.006888468312670872
M&M's,some,4,1,1,0,0.013042261777053425
M&M's,some,4,1,1,1,0.008541723703090283
M&M's,some,5,0,0,0,0.035394808435739444
M&M's,some,5,0,0,1,0.020870187038819477
M&M's,some,5,0,1,0,0.030354142440567663
M&M's,some,5,0,1,1,0.01789801034604371
M&M's,some,5,1,0,0,0.010952089842474042
M&M's,some,5,1,0,1,0.0064576544688501525
M&M's,some,5,1,1,0,0.009392374519197846
M&M's,some,5,1,1,1,0.005538003416333362
M&M's,some,6,0,0,0,0.015147514923604784
M&M's,some,6,0,0,1,0.019341199279616503
M&M's,some,6,0,1,0,0.008459024334497928
M&M's,some,6,0,1,1,0.010800958486870758
M&M's,some,6,1,0,0,0.012368749059438255
M&M's,some,6,1,0,1,0.01579278851725241
M&M's,some,6,1,1,0,0.006907241904942517
M&M's,some,6,1,1,1,0.008819373174557542
M&M's,some,7,0,0,0,0.01604399394299126
M&M's,some,7,0,0,1,0.015189166256707813
M&M's,some,7,0,1,0,0.006517889871563325
M&M's,some,7,0,1,1,0.006170615370435755
M&M's,some,7,1,0,0,0.016371875757774206
M&M's,some,7,1,0,1,0.01549925834643031
M&M's,some,7,1,1,0,0.006651092248307051
M&M's,some,7,1,1,1,0.0062965906544394075
M&M's,some,8,0,0,0,0.011019783020208857
M&M's,some,8,0,0,1,0.016360286473876638
M&M's,some,8,0,1,0,0.003964635028690594
