"","food","totalQuant","eatenQuant","variable","N","value","sd","se","ci"
"1","M&M's","10","0","Comp.1",16,-0.471850041817985,0.32178293176679,0.0804457329416975,0.171466020920804
"2","M&M's","10","0","Comp.2",16,0.0278297704306593,0.28308498024369,0.0707712450609226,0.150845338123803
"3","M&M's","10","0","Comp.3",16,0.042666778823747,0.332254031239844,0.0830635078099611,0.177045675974142
"4","M&M's","10","0","Comp.4",16,0.0745397488062899,0.177111845572804,0.0442779613932009,0.0943762406898513
"5","M&M's","10","1","Comp.1",20,-0.457954537702712,0.341905212094141,0.0764523296103983,0.160016564890116
"6","M&M's","10","1","Comp.2",20,-0.0294878689136429,0.251628686832174,0.0562658848845747,0.117765850505984
"7","M&M's","10","1","Comp.3",20,-0.0021340154008349,0.248778231501144,0.0556285036958738,0.116431796346205
"8","M&M's","10","1","Comp.4",20,0.0713163252031,0.148324405718938,0.0331663453909805,0.0694179587001363
"9","M&M's","10","2","Comp.1",18,-0.458098173426344,0.352477292978157,0.083079694693044,0.17528283406502
"10","M&M's","10","2","Comp.2",18,-0.0344226853479536,0.236823559000716,0.0558198481713795,0.117769585224267
"11","M&M's","10","2","Comp.3",18,0.070629305012526,0.216664066443258,0.0510682102071601,0.107744505427133
"12","M&M's","10","2","Comp.4",18,0.0798244232299922,0.177549807958667,0.0418488910686477,0.0882934422916824
"13","M&M's","10","3","Comp.1",21,-0.434360442789541,0.230890584256359,0.0503844561717783,0.105100133884699
"14","M&M's","10","3","Comp.2",21,-0.098515333377344,0.159000555001487,0.0346967656587764,0.0723761849025571
"15","M&M's","10","3","Comp.3",21,0.00495653207379953,0.193065091936559,0.0421302570406137,0.0878821762106356
"16","M&M's","10","3","Comp.4",21,-0.0165082436313206,0.152704799191211,0.033322919108417,0.0695103912163551
"17","M&M's","10","4","Comp.1",21,-0.301403755362418,0.314869646490283,0.0687101899564624,0.143326944703875
"18","M&M's","10","4","Comp.2",21,-0.0114757259892245,0.134079551024857,0.0292585567484335,0.0610322798969862
"19","M&M's","10","4","Comp.3",21,0.00845245601529756,0.241686918526759,0.0527404094585475,0.110014566324365
"20","M&M's","10","4","Comp.4",21,-0.0642995368187481,0.137136788803669,0.0299257007264756,0.0624239178492456
"21","M&M's","10","5","Comp.1",19,-0.215451762042089,0.463523732739482,0.10633963731285,0.223411287781806
"22","M&M's","10","5","Comp.2",19,-0.0544097815745728,0.124704246973033,0.0286091163360941,0.0601055230623201
"23","M&M's","10","5","Comp.3",19,0.00144596493769938,0.196489864422628,0.0450778664446444,0.0947050831405954
"24","M&M's","10","5","Comp.4",19,0.0264753299171228,0.145093496156813,0.0332867309006609,0.0699328265967708
"25","M&M's","10","6","Comp.1",23,-0.0490590663612833,0.356216075841454,0.0742761863317912,0.154039382420123
"26","M&M's","10","6","Comp.2",23,-0.0053366859805782,0.16647123639939,0.0347116523151755,0.0719875608788909
"27","M&M's","10","6","Comp.3",23,0.0328784358000927,0.172889705358263,0.0360499956092784,0.0747631149921409
"28","M&M's","10","6","Comp.4",23,0.00606520088766364,0.199505722127232,0.0415998187503933,0.0862727437361297
"29","M&M's","10","7","Comp.1",21,-0.0180804279705196,0.374463156972175,0.0817145600855772,0.170453585447924
"30","M&M's","10","7","Comp.2",21,-0.0544889044709422,0.260747278576141,0.056899721015662,0.118690738198296
"31","M&M's","10","7","Comp.3",21,0.00115418366159414,0.203596055712194,0.0444283017378847,0.0926758134493259
"32","M&M's","10","7","Comp.4",21,-0.0340192217402649,0.214761638030911,0.0468648315547313,0.0977583255854414
"33","M&M's","10","8","Comp.1",21,0.136812774417819,0.452053265162966,0.098646109798154,0.205772179253924
"34","M&M's","10","8","Comp.2",21,-0.0525501041057079,0.187037199504599,0.040814863071542,0.0851383124723979
"35","M&M's","10","8","Comp.3",21,0.0783493715629895,0.214721269219342,0.0468560223578394,0.0977399499227251
"36","M&M's","10","8","Comp.4",21,-0.00152726273127309,0.163709435984566,0.0357243277322762,0.0745196418276743
"37","M&M's","10","9","Comp.1",21,0.0581180969578287,0.537532782371169,0.117299269701719,0.244681988988767
"38","M&M's","10","9","Comp.2",21,-0.00923296918625068,0.162199184998883,0.0353947639484536,0.0738321838210778
"39","M&M's","10","9","Comp.3",21,0.0448326882845914,0.147161520921352,0.0321132766193774,0.0669871211999587
"40","M&M's","10","9","Comp.4",21,-0.00348534221939553,0.151071458882175,0.0329664950321416,0.0687669036215191
"41","M&M's","10","10","Comp.1",18,0.141136529869127,0.45037411742918,0.106154197501693,0.223965779541467
"42","M&M's","10","10","Comp.2",18,-0.0197246650637677,0.358214105282772,0.0844318743207066,0.178135683707492
"43","M&M's","10","10","Comp.3",18,0.0216635094970739,0.214039253651536,0.0504495358990363,0.106439216734248
"44","M&M's","10","10","Comp.4",18,-0.00770687588377,0.190367293328053,0.0448700013427984,0.0946674278104378
"45","cookies","10","0","Comp.1",12,-0.189557928138599,0.357395518057209,0.103171199278748,0.227078278561381
"46","cookies","10","0","Comp.2",12,0.0278760201273486,0.219276428243066,0.063299652436537,0.139321595651776
"47","cookies","10","0","Comp.3",12,0.227058144084204,0.17657397001253,0.0509725145593075,0.112189748117591
"48","cookies","10","0","Comp.4",12,0.0807639683689328,0.26076513399346,0.0752764101531964,0.165682261652157
"49","cookies","10","1","Comp.1",24,-0.612981494264805,0.299021856709846,0.0610375809065624,0.126265856263929
"50","cookies","10","1","Comp.2",24,0.00677990808726973,0.216493488281173,0.0441915482436736,0.0914171825904759
"51","cookies","10","1","Comp.3",24,-0.0346990988312839,0.245504240358154,0.0501133432139228,0.103667348823023
"52","cookies","10","1","Comp.4",24,-0.0642461252005889,0.0967303328202794,0.0197449965049398,0.0408456372876412
"53","cookies","10","2","Comp.1",22,-0.448453866314709,0.232664236642924,0.0496041819226026,0.103157543482635
"54","cookies","10","2","Comp.2",22,-0.0650877243023473,0.194862182956747,0.0415447569969965,0.0863970518268011
"55","cookies","10","2","Comp.3",22,-0.0756446347893357,0.181304408278716,0.0386542297234524,0.0803858712901758
"56","cookies","10","2","Comp.4",22,-0.0232027895311865,0.119886354112322,0.0255598565780095,0.0531546316088825
"57","cookies","10","3","Comp.1",19,-0.375748994788761,0.276126102584209,0.0633476724651743,0.133088521280055
"58","cookies","10","3","Comp.2",19,-0.0241308541532553,0.273391949162597,0.0627204146514405,0.131770701514268
"59","cookies","10","3","Comp.3",19,0.017650306798244,0.183363893202839,0.0420665621244926,0.0883785675245154
"60","cookies","10","3","Comp.4",19,-0.0257473048963105,0.159396283294279,0.0365680153081969,0.0768265493288626
"61","cookies","10","4","Comp.1",20,-0.160438037901281,0.312850938425968,0.0699555965145065,0.146418746245344
"62","cookies","10","4","Comp.2",20,-0.0222510893308528,0.235790156737823,0.0527242818891102,0.110353190245312
"63","cookies","10","4","Comp.3",20,-0.0168198243193079,0.197755469847034,0.0442194673500377,0.0925524088367517
"64","cookies","10","4","Comp.4",20,-0.0313448937823845,0.130013918826801,0.0290719960517868,0.0608483870460531
"65","cookies","10","5","Comp.1",22,0.0606078085580076,0.439170997884978,0.0936315713516855,0.194717512086573
"66","cookies","10","5","Comp.2",22,0.098084065426538,0.176105713528711,0.037545864278637,0.0780808991661199
"67","cookies","10","5","Comp.3",22,-0.0532175785089537,0.209336601492566,0.0446307133976639,0.0928146494818551
