"","food","totalQuant","eatenQuant","N","probAffect","sd","se","ci"
"67","M&M's","10","0",20,0.17875,0.283339460718058,0.0633566294873709,0.132606949523302
"68","M&M's","10","1",13,0.109615384615385,0.138269988586062,0.0383491949003744,0.0835557178563448
"69","M&M's","10","2",21,0.123809523809524,0.129295250897943,0.0282145368684823,0.0588544925891892
"70","M&M's","10","3",5,0.255,0.218231528427952,0.0975961064797157,0.270970232121969
"71","M&M's","10","4",12,0.297916666666667,0.17979101925864,0.0519011966834265,0.114233763691219
"72","M&M's","10","5",11,0.352272727272727,0.289278098344514,0.0872206283887529,0.194339670807637
"73","M&M's","10","6",18,0.422222222222222,0.199611550872764,0.047048893741765,0.0992644889362002
"74","M&M's","10","7",10,0.455,0.314200926513946,0.0993590570719259,0.224765802644133
"75","M&M's","10","8",11,0.518181818181818,0.233744226958365,0.0704765361575066,0.157031508365956
"76","M&M's","10","9",14,0.589285714285714,0.271341802209637,0.0725191470413029,0.156668092261447
"77","M&M's","10","10",16,0.5234375,0.304339277506754,0.0760848193766886,0.162170953684441
"78","M&M's","100","0",6,0.154166666666667,0.261923971157026,0.106930013456362,0.274872350275271
"79","M&M's","100","1",14,0.219642857142857,0.127919209565351,0.0341878468128914,0.0738583526865219
"80","M&M's","100","2",16,0.2953125,0.243108129234709,0.0607770323086773,0.129543177894802
"81","M&M's","100","3",8,0.46875,0.310745072366401,0.109864973945293,0.25978938179165
"82","M&M's","100","4",9,0.455555555555556,0.171745532046041,0.0572485106820137,0.132015302367004
"83","M&M's","100","5",17,0.566176470588235,0.123408992426665,0.0299310771133053,0.063451048983896
"84","M&M's","100","6",11,0.495454545454545,0.203045001729352,0.0612203714812114,0.13640748823032
"85","M&M's","100","7",15,0.665,0.155781440302936,0.0402225949294317,0.0862688861581552
"86","M&M's","100","8",11,0.704545454545455,0.325925256350705,0.0982701622741533,0.218959566554037
"87","M&M's","100","9",9,0.805555555555556,0.122332652132527,0.0407775507108422,0.0940332005626997
"88","M&M's","100","10",17,0.741176470588235,0.256774033756851,0.0622768507703184,0.132021025966809
"89","pies","10","0",11,0.0840909090909091,0.133824851612437,0.0403497109475857,0.0899047586287316
"90","pies","10","1",12,0.270833333333333,0.216068521679133,0.062373609577426,0.137283389061264
"91","pies","10","2",17,0.510294117647059,0.221863348907014,0.0538097659998166,0.114071608092867
"92","pies","10","3",13,0.582692307692308,0.186073634445876,0.0516075407697344,0.112443171936672
"93","pies","10","4",14,0.575,0.228498443017756,0.0610687776559807,0.131931073136476
"94","pies","10","5",13,0.759615384615385,0.165686218729631,0.0459530890205712,0.100123179920861
"95","pies","10","6",10,0.7225,0.054581742979376,0.0172602626476733,0.0390454267802125
"96","pies","10","7",12,0.7875,0.199573408685991,0.057611880613974,0.126802894276328
"97","pies","10","8",18,0.736111111111111,0.273353657780945,0.0644300750263511,0.135935575971565
"98","pies","10","9",15,0.766666666666667,0.271514710642422,0.070104796837895,0.150359835017099
"99","pies","10","10",15,0.876666666666667,0.243755341821808,0.0629373586283307,0.134987208958752
"100","pies","100","0",10,0.41,0.285092577556445,0.0901541889086568,0.20394294419598
"101","pies","100","1",11,0.597727272727273,0.236763211208621,0.0713867941580604,0.159059689582321
"102","pies","100","2",15,0.656666666666667,0.323549878395162,0.0835402193794597,0.179175950430798
"103","pies","100","3",18,0.6375,0.297198933178356,0.0700504603372744,0.147793552453976
"104","pies","100","4",13,0.746153846153846,0.209624205883547,0.0581392940685807,0.126674639824419
"105","pies","100","5",19,0.819736842105263,0.218831960418456,0.0502034947937339,0.105473628709282
"106","pies","100","6",13,0.761538461538461,0.242730857599048,0.067321427170055,0.146680789229624
"107","pies","100","7",12,0.833333333333333,0.21488192670451,0.0620310691134172,0.13652946258325
"108","pies","100","8",14,0.7625,0.349415721102881,0.0933852795656812,0.201746630948713
"109","pies","100","9",17,0.869117647058824,0.174894926439041,0.0424182502995763,0.0899226735937654
"110","pies","100","10",14,0.864285714285714,0.273635475818421,0.0731321570985284,0.157992419975174
"111","strawberries","10","0",13,0.103846153846154,0.206873087565721,0.0573762711332121,0.125012155663508
"112","strawberries","10","1",16,0.1578125,0.272598414950148,0.0681496037375371,0.145257441916452
"113","strawberries","10","2",10,0.155,0.101242283656583,0.0320156211871642,0.0724243667899776
"114","strawberries","10","3",12,0.3125,0.19583736295016,0.0565333771083307,0.1244291240653
"115","strawberries","10","4",12,0.339583333333333,0.18903412791121,0.0545694523177815,0.120106554745765
"116","strawberries","10","5",9,0.405555555555556,0.205691584119958,0.0685638613733194,0.15810854785244
"117","strawberries","10","6",6,0.570833333333333,0.263826015901894,0.10770651997184,0.276868423819213
"118","strawberries","10","7",14,0.585714285714286,0.242525630230459,0.0648177011309859,0.140030129907355
"119","strawberries","10","8",15,0.656666666666667,0.251684799094499,0.0649847356924368,0.139378396030995
"120","strawberries","10","9",18,0.670833333333333,0.277362843688234,0.0653750492070448,0.137929297218643
"121","strawberries","10","10",15,0.658333333333333,0.340386684871919,0.0878874641186463,0.188499863076526
"122","strawberries","100","0",18,0.0763888888888889,0.091744619261288,0.0216244141390116,0.0456235258120056
"123","strawberries","100","1",15,0.335,0.220955716313085,0.0570505206353273,0.12236119719743
"124","strawberries","100","2",13,0.371153846153846,0.160677651502341,0.0445639624086787,0.0970965330368373
"125","strawberries","100","3",23,0.459782608695652,0.186434720849792,0.0388743265778887,0.0806204189227891
"126","strawberries","100","4",23,0.618478260869565,0.187722200354484,0.0391427846124199,0.0811771668104658
"127","strawberries","100","5",12,0.7,0.0959403223600247,0.0276955854703499,0.0609575726202897
"128","strawberries","100","6",13,0.653846153846154,0.253074049161455,0.0701901123646861,0.152931117335962
"129","strawberries","100","7",12,0.625,0.14420629162923,0.0416287706454868,0.091624306423575
"130","strawberries","100","8",8,0.728125,0.177501257540817,0.0627561714381257,0.148394764919707
"131","strawberries","100","9",11,0.720454545454545,0.293431887713781,0.0884730430065733,0.197130224476399
"132","strawberries","100","10",12,0.870833333333333,0.130485689451047,0.037667973964978,0.0829066517076349
