"","food","totalQuant","eatenQuant","variable","N","value","sd","se","ci"
"1","M&M's","10","0","Comp.1",16,0.208485303656354,0.187724988104875,0.0469312470262187,0.100031585146587
"2","M&M's","10","0","Comp.2",16,0.528872535209386,0.321773102238205,0.0804432755595512,0.171460783134745
"3","M&M's","10","0","Comp.3",16,0.614360439646965,0.37203307981614,0.0930082699540351,0.198242434726829
"4","M&M's","10","0","Comp.4",16,0.600274770307806,0.259352612701777,0.0648381531754443,0.138199252120736
"5","M&M's","10","1","Comp.1",20,0.221694304149659,0.192746506466541,0.0430994290884788,0.0902081418134512
"6","M&M's","10","1","Comp.2",20,0.476306501415601,0.318405927142409,0.0711977297529271,0.149018560992139
"7","M&M's","10","1","Comp.3",20,0.50422390827795,0.343378925829463,0.0767818620195539,0.160706284149186
"8","M&M's","10","1","Comp.4",20,0.62863131398512,0.257458857480254,0.0575695506735278,0.120494454361172
"9","M&M's","10","2","Comp.1",18,0.216860421613528,0.206508586990989,0.0486745407448602,0.102694304307389
"10","M&M's","10","2","Comp.2",18,0.439760806614723,0.300233156896514,0.0707656337261898,0.149302436410762
"11","M&M's","10","2","Comp.3",18,0.576959260029188,0.308566347414774,0.0727297855676504,0.153446434563105
"12","M&M's","10","2","Comp.4",18,0.619055104937176,0.293467221947281,0.0691708875649667,0.145937816117124
"13","M&M's","10","3","Comp.1",21,0.212800434259652,0.122885142417467,0.0268157365196892,0.055936646191584
"14","M&M's","10","3","Comp.2",21,0.364684313348465,0.199527988141525,0.0435405766152757,0.0908240512923439
"15","M&M's","10","3","Comp.3",21,0.507815829474029,0.273800759630746,0.0597482241116334,0.124632611535916
"16","M&M's","10","3","Comp.4",21,0.462122284385301,0.292090622130375,0.0637393993190088,0.132958057130135
"17","M&M's","10","4","Comp.1",21,0.306634968284061,0.187161408367491,0.0408419676675508,0.0851948516689253
"18","M&M's","10","4","Comp.2",21,0.478672464334063,0.218143304514419,0.0476027716802441,0.0992976417135319
"19","M&M's","10","4","Comp.3",21,0.542985243571138,0.271605525500313,0.0592691847511163,0.123633352940076
"20","M&M's","10","4","Comp.4",21,0.36394446683136,0.24820208112424,0.0541621344951144,0.112980232782706
"21","M&M's","10","5","Comp.1",19,0.377933550575337,0.285940640141921,0.065599281801577,0.137818976960916
"22","M&M's","10","5","Comp.2",19,0.420553296803701,0.18281009068873,0.0419395111142989,0.0881116432569645
"23","M&M's","10","5","Comp.3",19,0.518583101761293,0.283404920610095,0.0650175478442932,0.136596799268502
"24","M&M's","10","5","Comp.4",19,0.532712381840769,0.266910081877231,0.0612333723113167,0.128646541487131
"25","M&M's","10","6","Comp.1",23,0.473158755886497,0.249492608825463,0.0520228051408125,0.10788869449835
"26","M&M's","10","6","Comp.2",23,0.485052927551057,0.244814585994333,0.0510473699512336,0.105865765729197
"27","M&M's","10","6","Comp.3",23,0.527152943095946,0.237731152475903,0.0495703719616261,0.102802659377201
"28","M&M's","10","6","Comp.4",23,0.460315577256906,0.251180187341641,0.0523746895862885,0.108618458172837
"29","M&M's","10","7","Comp.1",21,0.485325000900827,0.258646689778114,0.0564413349599033,0.117734561641247
"30","M&M's","10","7","Comp.2",21,0.441003483725262,0.309459848181592,0.0675296751829375,0.140864434037344
"31","M&M's","10","7","Comp.3",21,0.474096950434385,0.251616638814989,0.0549072520704786,0.114534520808831
"32","M&M's","10","7","Comp.4",21,0.434197768126742,0.328728741603685,0.0717344924526887,0.149635529164478
"33","M&M's","10","8","Comp.1",21,0.596090438843931,0.278651652094994,0.0608067756309434,0.126840711312245
"34","M&M's","10","8","Comp.2",21,0.442152013153576,0.24898343281965,0.0543326394136189,0.113335899810286
"35","M&M's","10","8","Comp.3",21,0.583707144321283,0.223867869033996,0.048851974072226,0.101903432241443
"36","M&M's","10","8","Comp.4",21,0.474574442119536,0.263900476061182,0.0575878051183452,0.120126056485138
"37","M&M's","10","9","Comp.1",21,0.531922475955611,0.327484025474425,0.071462873125019,0.149068941175388
"38","M&M's","10","9","Comp.2",21,0.47520481748399,0.2523292253358,0.0550627511976606,0.114858886304215
"39","M&M's","10","9","Comp.3",21,0.569058325458485,0.232965294839687,0.0508371951381225,0.106044530819645
"40","M&M's","10","9","Comp.4",21,0.488380894494938,0.261698925497765,0.0571073873991484,0.119123922683475
"41","M&M's","10","10","Comp.1",18,0.589231571490267,0.287600409498026,0.0677880666093608,0.143020318923632
"42","M&M's","10","10","Comp.2",18,0.480785293484987,0.319119463781463,0.0752171789494958,0.158694375868322
"43","M&M's","10","10","Comp.3",18,0.524186690796975,0.274643907828714,0.0647341898790856,0.136577202225315
"44","M&M's","10","10","Comp.4",18,0.525290326186702,0.266547977476495,0.0628259607950628,0.132551190777769
"45","cookies","10","0","Comp.1",12,0.378585711892514,0.231633535293558,0.0668668419775401,0.147172926894758
"46","cookies","10","0","Comp.2",12,0.542809149694644,0.310768797978988,0.0897112245844527,0.197453074004029
"47","cookies","10","0","Comp.3",12,0.80158053598674,0.193861776652709,0.0559630744680103,0.123173896417194
"48","cookies","10","0","Comp.4",12,0.542154823866496,0.319350695382468,0.092188604972481,0.202905751473981
"49","cookies","10","1","Comp.1",24,0.142390148943234,0.158406084324978,0.0323345065623734,0.0668890230793984
"50","cookies","10","1","Comp.2",24,0.487556894747177,0.262125559643023,0.0535061558055737,0.110685916411467
"51","cookies","10","1","Comp.3",24,0.484060129038146,0.312884607885488,0.0638673031408532,0.132119582699266
"52","cookies","10","1","Comp.4",24,0.367229916634875,0.203252835779221,0.0414888113693996,0.0858261453865488
"53","cookies","10","2","Comp.1",22,0.204844654883663,0.129057347081698,0.0275151188487726,0.0572208220972351
"54","cookies","10","2","Comp.2",22,0.42133805672033,0.259940244407348,0.0554194463172991,0.115251047828598
"55","cookies","10","2","Comp.3",22,0.386090716044034,0.252348221781133,0.0538008216548021,0.111884933571051
"56","cookies","10","2","Comp.4",22,0.443548229605356,0.236764687430023,0.0504784009677931,0.104975581512338
"57","cookies","10","3","Comp.1",19,0.249790223786903,0.173978355007593,0.0399133719916602,0.0838548829176182
"58","cookies","10","3","Comp.2",19,0.476248422654472,0.318087871610731,0.072974362500901,0.153313446550682
"59","cookies","10","3","Comp.3",19,0.525894979931067,0.278707443781169,0.0639398727502453,0.134332687911198
"60","cookies","10","3","Comp.4",19,0.445427055223336,0.284641649186265,0.0653012728381939,0.137192883361555
"61","cookies","10","4","Comp.1",20,0.396841583485507,0.205404698290264,0.0459298868274865,0.0961323579461807
"62","cookies","10","4","Comp.2",20,0.48453074109491,0.278863976639863,0.0623558808242647,0.130512358499004
"63","cookies","10","4","Comp.3",20,0.487989874522798,0.266469269553251,0.0595843400635784,0.124711457019114
"64","cookies","10","4","Comp.4",20,0.433636793668433,0.253518338686622,0.0566884238846101,0.118650234796984
"65","cookies","10","5","Comp.1",22,0.561366120730334,0.273613626480819,0.058334621170367,0.12131348581284
"66","cookies","10","5","Comp.2",22,0.632010904150782,0.251445297039843,0.0536083174531438,0.111484599168114
"67","cookies","10","5","Comp.3",22,0.433281879637333,0.282480343548323,0.0602250116008814,0.125244767924078
"68","cookies","10","5","Comp.4",22,0.411894061322073,0.193908676703264,0.0413414687807043,0.0859742908377298
"69","cookies","10","6","Comp.1",18,0.616260629488152,0.258281433227286,0.0608775176298648,0.128440335035311
"70","cookies","10","6","Comp.2",18,0.531102267373825,0.217951315275941,0.051371617666715,0.108384639211732
"71","cookies","10","6","Comp.3",18,0.504045731995304,0.273297843178721,0.0644169193984438,0.13590782002287
"72","cookies","10","6","Comp.4",18,0.576970466685336,0.200937078195035,0.0473613235278403,0.0999236581658411
"73","cookies","10","7","Comp.1",20,0.619130294575649,0.216135649301001,0.0483294004198094,0.101154597613792
"74","cookies","10","7","Comp.2",20,0.561920357924823,0.199229877488691,0.0445491549213669,0.0932424528539831
"75","cookies","10","7","Comp.3",20,0.471785944417513,0.234832901037205,0.0525102330072671,0.109905180786795
"76","cookies","10","7","Comp.4",20,0.389285126901253,0.255960774664242,0.0572345691722751,0.119793330021268
"77","cookies","10","8","Comp.1",20,0.728816390629716,0.220511759622666,0.0493079284354374,0.103202680288414
"78","cookies","10","8","Comp.2",20,0.503459132812812,0.317153679116003,0.0709177185817537,0.14843249087537
"79","cookies","10","8","Comp.3",20,0.458989163910731,0.272046372655908,0.0608314182290849,0.127321621617247
"80","cookies","10","8","Comp.4",20,0.53289217919033,0.297297458127848,0.0664777325911765,0.139139493395856
"81","cookies","10","9","Comp.1",20,0.816296256212285,0.190946441309396,0.0426969222829482,0.0893656853874128
"82","cookies","10","9","Comp.2",20,0.426445899131645,0.22987385603648,0.0514013568347571,0.107584276284371
"83","cookies","10","9","Comp.3",20,0.463363611319671,0.238270544255588,0.0532789133991366,0.11151404733713
"84","cookies","10","9","Comp.4",20,0.462152193367164,0.198226445696135,0.044324780751473,0.0927728323192073
"85","cookies","10","10","Comp.1",17,0.80082647909684,0.260258805752041,0.0631220321242809,0.133812730397877
"86","cookies","10","10","Comp.2",17,0.552542498942019,0.224457720320304,0.0544389934921152,0.115405510788206
"87","cookies","10","10","Comp.3",17,0.530460738878871,0.233220645222363,0.0565643149603826,0.119910991031335
"88","cookies","10","10","Comp.4",17,0.523689444150939,0.220237309734163,0.0534153935726956,0.113235575894746
"89","pies","10","0","Comp.1",22,0.459141841334078,0.225789102619924,0.0481383984238583,0.100109279825273
"90","pies","10","0","Comp.2",22,0.522439308699936,0.265399957211647,0.0565834609982715,0.117671748874614
"91","pies","10","0","Comp.3",22,0.627352249690722,0.323619205088316,0.0689958463512623,0.143484717300789
"92","pies","10","0","Comp.4",22,0.649581726902544,0.310076141016562,0.0661084553895143,0.137480059081596
"93","pies","10","1","Comp.1",17,0.24880521732297,0.152383252882148,0.0369583674828413,0.0783482390774418
"94","pies","10","1","Comp.2",17,0.591589142084286,0.351183882528054,0.0851746024516276,0.180562091096269
"95","pies","10","1","Comp.3",17,0.385367904583502,0.307852827101393,0.0746652778402384,0.158283318161349
"96","pies","10","1","Comp.4",17,0.653932119403059,0.313423846047029,0.0760164484023077,0.161147671796031
"97","pies","10","2","Comp.1",23,0.395680439407748,0.260308757755883,0.0542781280973929,0.112565948037428
"98","pies","10","2","Comp.2",23,0.548090836985271,0.308226912064255,0.0642697539656995,0.133287311830282
