"","workerID","gender","age","income","language","order","personA","personB","food","totalQuant","eatenQuant","affect","probAffect","subjectMeans","subectSDs","zscore","probit"
"37",4,"F",35,4,"English.",4,"Patrick","Victor","M&M's","10","9","upset",0.75,0.474431818181818,0.158525971421789,1.73831568005333,0.958922397514135
"38",4,"F",35,4,"English.",5,"Victoria","Yvonne","pies","10","2","upset",0.4,0.474431818181818,0.158525971421789,-0.469524441416465,0.319347409332563
"39",4,"F",35,4,"English.",6,"Barbara","Steven","cookies","10","1","upset",0.25,0.474431818181818,0.158525971421789,-1.41574163633209,0.0784255815541124
"40",4,"F",35,4,"English.",7,"Larry","Bob","cookies","10","5","upset",0.575,0.474431818181818,0.158525971421789,0.63439561931843,0.737088666116184
"41",4,"F",35,4,"English.",8,"Heather","David","M&M's","10","6","upset",0.575,0.474431818181818,0.158525971421789,0.63439561931843,0.737088666116184
"42",4,"F",35,4,"English.",9,"Rebecca","Kathy","M&M's","10","4","upset",0.4,0.474431818181818,0.158525971421789,-0.469524441416465,0.319347409332563
"43",4,"F",35,4,"English.",10,"Kevin","Jane","pies","10","8","upset",0.75,0.474431818181818,0.158525971421789,1.73831568005333,0.958922397514135
"44",4,"F",35,4,"English.",11,"Tracy","Henry","pies","10","4","upset",0.35,0.474431818181818,0.158525971421789,-0.784930173055007,0.216247255033285
"45",5,"M",45,4,"English",1,"Nathan","Yvonne","pies","10","4","upset",0.725,0.489204545454545,0.300067711703151,0.785807487273808,0.784009860253563
"46",5,"M",45,4,"English",2,"Tom","Jake","cookies","10","8","upset",0.95,0.489204545454545,0.300067711703151,1.5356382462146,0.937686435764736
"47",5,"M",45,4,"English",3,"Albert","Frank","pies","10","3","upset",0.7,0.489204545454545,0.300067711703151,0.702492958502609,0.758814104251641
"48",5,"M",45,4,"English",4,"Heather","Zack","M&M's","10","7","upset",0.125,0.489204545454545,0.300067711703151,-1.21374120323497,0.112423282493537
"49",5,"M",45,4,"English",5,"Olga","Iris","pies","10","9","upset",0.95,0.489204545454545,0.300067711703151,1.5356382462146,0.937686435764736
"50",5,"M",45,4,"English",6,"Calvin","Grace","pies","10","0","upset",0.675,0.489204545454545,0.300067711703151,0.61917842973141,0.732100589915222
"51",5,"M",45,4,"English",7,"Patty","Winston","pies","10","1","upset",0.125,0.489204545454545,0.300067711703151,-1.21374120323497,0.112423282493537
"52",5,"M",45,4,"English",8,"Lena","George","M&M's","10","9","upset",0.225,0.489204545454545,0.300067711703151,-0.88048308815017,0.189298831416342
"53",5,"M",45,4,"English",9,"Barbara","Matt","cookies","10","7","upset",0.6,0.489204545454545,0.300067711703151,0.369234843417813,0.644023656674766
"54",5,"M",45,4,"English",10,"Oliver","Edward","M&M's","10","3","upset",0.175,0.489204545454545,0.300067711703151,-1.04711214569257,0.147523929102374
