workerID,gender,age,income,language,order,pesonA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,probAffect
A2SNOG31ZZHXBS,F,45,4,English,1,Mary,Kathy,cookies,100,5,51,0.975
A2SNOG31ZZHXBS,F,45,4,English,2,Lena,Iris,M&M's,100,7,73,0.75
A2SNOG31ZZHXBS,F,45,4,English,3,Frank,Victoria,bananas,10,6,6,0.975
A2SNOG31ZZHXBS,F,45,4,English,4,Edward,Nathan,blueberries,100,7,77,0.975
A2SNOG31ZZHXBS,F,45,4,English,5,Steven,Kevin,cookies,100,10,10,0.725
A2SNOG31ZZHXBS,F,45,4,English,6,George,Grace,bananas,10,8,8,0.275
A2SNOG31ZZHXBS,F,45,4,English,7,Wendy,Nancy,blueberries,10,2,2,0.025
A2SNOG31ZZHXBS,F,45,4,English,8,Olga,Barbara,cookies,10,0,0,0.025
A2SNOG31ZZHXBS,F,45,4,English,9,Henry,Albert,M&M's,100,2,20,0.75
A2SNOG31ZZHXBS,F,45,4,English,10,Larry,Rebecca,M&M's,10,10,10,0.725
A2SNOG31ZZHXBS,F,45,4,English,11,Heather,Tracy,bananas,10,2,2,0.275
A2SNOG31ZZHXBS,F,45,4,English,12,David,Calvin,bananas,10,4,4,0.375
A2SNOG31ZZHXBS,F,45,4,English,13,Zack,Oliver,bananas,100,5,51,0.725
A2SNOG31ZZHXBS,F,45,4,English,14,Victor,Robert,strawberries,100,8,81,0.7
A2SNOG31ZZHXBS,F,45,4,English,15,Patty,Matt,strawberries,100,3,37,0.7
A2SNOG31ZZHXBS,F,45,4,English,16,Fiona,Ivan,strawberries,10,8,8,0.25
A2SNOG31ZZHXBS,F,45,4,English,17,Jane,Patrick,M&M's,10,4,4,0.65
A2SNOG31ZZHXBS,F,45,4,English,18,Emma,Yvonne,bananas,100,3,39,0.675
A2SNOG31ZZHXBS,F,45,4,English,19,Stephanie,Cathy,strawberries,100,0,7,0.225
A2SNOG31ZZHXBS,F,45,4,English,20,Bob,Ann,pies,100,0,5,0.75
A2SNOG31ZZHXBS,F,45,4,English,21,Tom,Diana,pies,10,1,1,0.25
A2SNOG31ZZHXBS,F,45,4,English,22,Winston,Jake,cookies,100,4,48,0.725
A3QSJY1FFN0N6V,F,35,10,English,1,Grace,Olga,M&M's,10,5,5,0.175
A3QSJY1FFN0N6V,F,35,10,English,2,Kathy,David,M&M's,10,7,7,0.275
A3QSJY1FFN0N6V,F,35,10,English,3,Patty,Bob,bananas,100,4,48,0.75
