workerID,gender,age,income,language,order,personA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,literalQuantifier,upset,annoyed,angry,disgusted,excited,happy,surprised,neutral
1,F,45,4,english,1,Matt,Larry,bananas,100,10,100,all,0.675,0.85,0.825,1,0.125,0,1,0.1
1,F,45,4,english,2,Lena,Oliver,blueberries,10,3,3,some,0.25,0.225,0.15,0.175,0.375,0.55,0.35,0.175
1,F,45,4,english,3,Albert,Nathan,strawberries,100,8,84,some,0.775,0.95,0.7,0.975,0,0.2,0.825,0.15
1,F,45,4,english,4,David,Mary,strawberries,10,8,8,some,0.75,0.725,0.65,0.75,0.3,0.25,0.4,0.25
1,F,45,4,english,5,Olga,Tracy,blueberries,100,3,35,some,0.3,0.55,0.375,0.55,0.375,0.175,0.575,0.275
1,F,45,4,english,6,Steven,Wendy,strawberries,10,10,10,all,0.775,0.75,0.625,0.9,0.275,0.35,0.65,0.3
2,M,35,0,English,1,Emma,Frank,strawberries,100,10,100,all,0,0.55,0,0.675,0.95,1,0.725,0.25
2,M,35,0,English,2,Albert,George,strawberries,100,3,38,some,0.125,0.125,0.125,0,0.525,0.6,0.15,0.9
2,M,35,0,English,3,Edward,Henry,strawberries,10,8,8,some,0.15,0.275,0.15,0.35,0.675,0.7,0.775,0.575
2,M,35,0,English,4,Lena,David,strawberries,100,8,81,some,0.125,0.2,0.125,0.125,0.8,0.675,0.725,0.575
2,M,35,0,English,5,Yvonne,Larry,strawberries,10,3,3,some,0.575,0.125,0.4,0.15,0.3,0.325,0.025,0.75
2,M,35,0,English,6,Robert,Grace,cookies,10,10,10,all,0.575,0.575,0.725,0.55,0.675,0.55,0.85,0.275
3,M,17,11,English,1,Victor,Kevin,pies,100,10,100,all,0.975,0.975,0.975,0.975,0.375,0.2,1,0.15
3,M,17,11,English,2,Ivan,Calvin,cookies,100,3,35,some,0.7,0.675,0.725,0.725,0.15,0.175,0.75,0.375
3,M,17,11,English,3,Kathy,George,M&M's,10,3,3,some,0.1,0.025,0.075,0.05,0.125,0.5,0.1,0.5
3,M,17,11,English,4,Fiona,Rebecca,pies,10,10,10,all,0.975,0.975,0.95,0.975,0.125,0.15,0.975,0.075
3,M,17,11,English,5,Larry,Bob,strawberries,10,8,8,some,0.175,0.2,0.225,0.15,0.175,0.125,0.175,0.5
3,M,17,11,English,6,Yvonne,Jane,strawberries,100,8,80,some,0.725,0.8,0.7,0.725,0.175,0.175,0.725,0.275
4,F,45,0,english,1,Tracy,Victor,pies,100,8,82,some,0.95,0.9,0.9,0.825,0.025,0.075,0.825,0.625
4,F,45,0,english,2,Steven,Jake,M&M's,100,3,34,some,0.5,0.5,0.6,0.525,0.4,0.575,0.6,0.475
4,F,45,0,english,3,Robert,Matt,strawberries,10,8,8,some,0.5,0.575,0.5,0.525,0.575,0.5,0.525,0.5
4,F,45,0,english,4,Heather,Ann,M&M's,100,10,100,all,0.85,0.75,0.775,0.85,0.4,0.4,0.725,0.525
4,F,45,0,english,5,Albert,Iris,M&M's,10,10,10,all,0.5,0.75,0.625,0.525,0.525,0.5,0.5,0.5
4,F,45,0,english,6,Emma,Patty,pies,10,3,3,some,0.6,0.6,0.5,0.675,0.45,0.375,0.575,0.5
5,M,35,4,English,1,Emma,Barbara,M&M's,100,3,34,some,0.4,0.475,0.325,0.475,0.175,0.375,0.575,0.85
5,M,35,4,English,2,Kathy,Iris,bananas,100,8,82,some,0.7,0.825,0.675,0.9,0.15,0.075,0.975,0.05
5,M,35,4,English,3,Jake,Tracy,blueberries,100,10,100,all,0.875,0.95,0.9,1,0.1,0.1,1,0
5,M,35,4,English,4,David,Yvonne,bananas,10,8,8,some,0.775,0.875,0.8,0.775,0.175,0.125,0.85,0.075
5,M,35,4,English,5,Victor,Matt,bananas,10,10,10,all,0.875,0.95,0.825,0.85,0.075,0.05,0.9,0.1
5,M,35,4,English,6,Wendy,Bob,pies,10,3,3,some,0.7,0.825,0.625,0.9,0.225,0.175,0.85,0.225
6,M,25,4,English,1,Bob,Ann,pies,10,8,8,some,0.8,0.9,0.8,0.975,0.55,0,1,0.025
6,M,25,4,English,2,Victoria,Steven,bananas,100,10,100,all,0.95,0.825,0.975,0.85,0.025,0.025,1,0.025
6,M,25,4,English,3,Tracy,Winston,strawberries,10,3,3,some,0.125,0.075,0.1,0.075,0.1,0.825,0.125,0.725
6,M,25,4,English,4,Yvonne,Mary,pies,10,10,10,all,0.95,0.875,0.95,0.825,0.025,0.025,0.875,0.025
6,M,25,4,English,5,Emma,Ivan,bananas,100,3,38,some,0.625,0.675,0.65,0.6,0.125,0.125,0.725,0.125
6,M,25,4,English,6,Frank,George,blueberries,100,8,86,some,0.425,0.5,0.625,0.25,0,0.575,0.575,0.35
7,M,35,4,English,1,Robert,Grace,M&M's,100,10,100,all,0.1,0.45,0.1,0.3,0.2,0.275,0.35,0.1
7,M,35,4,English,2,Stephanie,Nancy,blueberries,10,3,3,some,0,0,0,0,0,0.1,0.05,0.925
7,M,35,4,English,3,Rebecca,Cathy,blueberries,100,3,38,some,0.15,0.2,0.15,0.175,0.075,0.225,0.1,0.475
7,M,35,4,English,4,Victor,Mary,pies,10,8,8,some,0.75,0.775,0.625,0.65,0.075,0.075,0.7,0.075
7,M,35,4,English,5,Matt,Frank,cookies,10,10,10,all,0.7,0.8,0.625,0.675,0.075,0.075,0.625,0.075
7,M,35,4,English,6,Fiona,Jake,pies,100,8,81,some,0.575,0.575,0.525,0.625,0.075,0.1,0.7,0.075
8,F,55,10,English,1,Diana,David,cookies,100,3,31,some,0.6,0.5,0.375,0.5,0.3,0.375,0.95,0.3
8,F,55,10,English,2,Ann,Stephanie,strawberries,10,3,3,some,0.45,0.5,0.4,0.3,0.175,0.3,0.2,0.5
8,F,55,10,English,3,Tom,Nancy,cookies,10,8,8,some,0.775,0.775,0.5,0.5,0.075,0.275,0.95,0.075
8,F,55,10,English,4,Frank,Yvonne,blueberries,100,8,88,some,0.9,0.9,0.5,0.5,0.025,0.175,0.975,0.1
8,F,55,10,English,5,Winston,Iris,M&M's,100,10,100,all,1,1,0.75,0.825,0.05,0,1,0
8,F,55,10,English,6,Grace,Henry,blueberries,10,10,10,all,1,1,0.8,0.5,0,0,1,0
9,M,25,4,ENGLISH,1,Edward,Oliver,M&M's,10,10,10,all,1,1,1,1,0,0,0.5,0
9,M,25,4,ENGLISH,2,Iris,Matt,bananas,100,10,100,all,1,1,1,1,0,0,1,0
9,M,25,4,ENGLISH,3,Robert,Nathan,strawberries,100,3,33,some,1,0.5,1,0.5,0,0,0.5,0
9,M,25,4,ENGLISH,4,Steven,Jane,cookies,100,8,88,some,1,0.5,1,1,0,0,0.475,0
9,M,25,4,ENGLISH,5,Ivan,Rebecca,cookies,10,8,8,some,0.5,0.5,0.5,0.5,0,0,0.5,0.5
9,M,25,4,ENGLISH,6,Kathy,Cathy,bananas,10,3,3,some,0.225,0.325,0.2,0,0,0.025,0.3,0.25
10,F,35,4,english,1,Edward,Winston,cookies,100,8,86,some,0.825,1,0.85,1,0,0,1,0
10,F,35,4,english,2,Jane,Tracy,M&M's,10,3,3,some,0,0,0,0,0.4,0.55,0,0.5
10,F,35,4,english,3,Rebecca,Cathy,strawberries,100,10,100,all,0.675,0.975,0.7,0.5,0,0.125,1,0
10,F,35,4,english,4,David,Emma,bananas,10,8,8,some,0.7,0.875,0.6,0.65,0,0,1,0.275
10,F,35,4,english,5,Kathy,Wendy,blueberries,10,10,10,all,0.35,0.425,0.15,0,0.225,0.4,0.625,0.5
10,F,35,4,english,6,Robert,Olga,pies,100,3,30,some,0.625,0.975,0.625,0.975,0.025,0.025,0.975,0
11,F,35,4,English,1,Kevin,Mary,pies,10,10,10,all,0.525,0.8,0.625,0.575,0,0.1,0.85,0.1
11,F,35,4,English,2,Bob,Yvonne,cookies,100,10,100,all,0.7,0.65,0.7,0.55,0,0.1,0.9,0.075
11,F,35,4,English,3,Ann,Lena,strawberries,10,8,8,some,0.4,0.325,0.325,0.275,0.025,0.075,0.4,0.35
11,F,35,4,English,4,Cathy,Diana,blueberries,100,8,85,some,0.15,0.325,0.225,0.15,0,0,0.2,0.325
11,F,35,4,English,5,Tom,Robert,blueberries,10,3,3,some,0.075,0.1,0.075,0.05,0.05,0.1,0.05,0.7
11,F,35,4,English,6,Winston,Albert,M&M's,100,3,32,some,0.05,0.125,0.075,0.2,0.025,0.025,0.325,0.475
