workerID,gender,age,income,language,order,personA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,literalQuantifier,upset,annoyed,angry,disgusted,excited,happy,surprised,neutral
12,F,25,4,english,1,Nancy,Edward,bananas,100,3,34,some,0.05,0.35,0.05,0.1,0.05,0.125,0.5,0.5
12,F,25,4,english,2,Jane,Fiona,bananas,100,8,81,some,0.025,0.65,0.15,0.075,0.125,0.15,0.775,0.325
12,F,25,4,english,3,Jake,Wendy,pies,100,10,100,all,0.125,0.575,0.075,0.15,0.125,0.125,1,0.225
12,F,25,4,english,4,Cathy,Ivan,M&M's,10,8,8,some,0,0.325,0.05,0.025,0.05,0.05,0.325,0.8
12,F,25,4,english,5,Grace,Winston,strawberries,10,10,10,all,0.05,0.225,0.05,0.05,0.05,0.225,0.625,0.475
12,F,25,4,english,6,Yvonne,Mary,bananas,10,3,3,some,0.1,0.05,0.075,0.075,0.05,0.5,0.225,0.55
13,M,25,8,english,1,Cathy,Frank,bananas,10,8,8,some,0.475,0.325,0.5,0.475,0.225,0.15,0.075,0.425
13,M,25,8,english,2,Steven,Fiona,blueberries,100,10,100,all,0.675,0.675,0.6,0.6,0.35,0.325,0.375,0.5
13,M,25,8,english,3,Diana,Edward,pies,10,3,3,some,0.55,0.5,0.625,0.5,0.3,0.375,0.175,0.45
13,M,25,8,english,4,Matt,Kathy,cookies,100,8,84,some,0.5,0.5,0.275,0.4,0.575,0.55,0.225,0.55
13,M,25,8,english,5,Grace,Yvonne,M&M's,10,10,10,all,0.25,0.325,0.2,0.15,0.6,0.7,0.675,0.65
13,M,25,8,english,6,Kevin,Bob,blueberries,100,3,37,some,0.625,0.675,0.65,0.625,0.375,0.35,0.4,0.575
14,M,45,4,english,1,George,Emma,M&M's,10,8,8,some,0.2,0.05,0.05,0.025,0.5,0.75,0.4,0.5
14,M,45,4,english,2,Winston,Rebecca,M&M's,100,10,100,all,0.05,0.6,0.025,0.6,0.5,0.5,0.825,0.5
14,M,45,4,english,3,Matt,Iris,strawberries,100,3,30,some,0,0.5,0.05,0.5,0.5,0.5,0.95,0.55
14,M,45,4,english,4,Heather,Jane,M&M's,10,3,3,some,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.675
14,M,45,4,english,5,Oliver,Nathan,cookies,10,10,10,all,0.05,0.05,0.025,0.025,0.075,0.025,0.025,0.725
14,M,45,4,english,6,Wendy,Tom,pies,100,8,86,some,0.325,0.65,0.025,0.575,0.5,0.5,0.8,0.5
15,M,25,4,English,1,Olga,Kathy,cookies,10,10,10,all,0.775,0.95,0.8,0.65,0.4,0.325,0.625,0.3
15,M,25,4,English,2,Grace,Nathan,bananas,100,8,85,some,0.8,1,0.675,0.725,0.175,0.2,0.95,0.275
15,M,25,4,English,3,Heather,Winston,blueberries,100,10,100,all,0.8,1,0.85,0.65,0.15,0.125,0.9,0.225
15,M,25,4,English,4,Barbara,Oliver,bananas,10,8,8,some,0.725,0.925,0.675,0.65,0.225,0.25,0.2,0.2
15,M,25,4,English,5,Kevin,Fiona,pies,10,3,3,some,0.15,0.55,0.1,0.55,0.575,0.575,0.2,0.5
15,M,25,4,English,6,Ivan,George,blueberries,100,3,35,some,0.65,0.65,0.575,0.55,0.25,0.375,0.7,0.425
16,F,45,4,English,1,Mary,Matt,cookies,10,10,10,all,0.825,1,0.775,0.9,0.025,0.025,0.825,0.275
16,F,45,4,English,2,Iris,Robert,pies,100,10,100,all,1,1,1,1,0,0,1,0
16,F,45,4,English,3,Jake,Ann,blueberries,10,8,8,some,0.65,0.725,0.575,0.8,0.025,0.625,0.55,0.375
16,F,45,4,English,4,Ivan,Calvin,M&M's,100,8,84,some,0.65,0.825,0.675,0.75,0,0.025,0.575,0
16,F,45,4,English,5,Nancy,Rebecca,blueberries,10,3,3,some,0.025,0.025,0.025,0.025,0.025,0,0,0.8
16,F,45,4,English,6,Jane,Steven,pies,100,3,37,some,0.6,0.925,0.725,0.9,0,0.025,0.65,0
17,M,35,6,English,1,Heather,Larry,pies,100,10,100,all,1,1,1,1,0,0,1,0
17,M,35,6,English,2,Lena,Olga,bananas,100,8,83,some,1,1,0.85,1,0,0,0,0
17,M,35,6,English,3,Victor,Ann,blueberries,10,8,8,some,1,1,1,1,0,0,1,0
17,M,35,6,English,4,Oliver,Mary,blueberries,10,3,3,some,0,0,0,0,0.725,0.875,0,1
17,M,35,6,English,5,Jane,Kathy,blueberries,100,3,33,some,0.3,0.55,0.3,0.125,0.275,0.4,0.675,0.5
17,M,35,6,English,6,Matt,Patrick,pies,10,10,10,all,1,1,1,1,0,0,1,0
18,M,45,4,English,1,Calvin,Tracy,cookies,100,10,100,all,1,1,1,1,0,0,1,0
18,M,45,4,English,2,Kevin,Cathy,M&M's,10,10,10,all,1,0.2,1,0.75,0,0,1,0
18,M,45,4,English,3,Rebecca,Yvonne,blueberries,100,8,87,some,1,1,1,0.95,0.075,0,0.925,0.05
18,M,45,4,English,4,Steven,Larry,blueberries,10,3,3,some,0,0.225,0.175,0,0.5,0.7,0.225,0.9
18,M,45,4,English,5,Nathan,Barbara,strawberries,100,3,32,some,0.575,0.55,0.55,0.775,0.375,0.55,0.7,0.6
18,M,45,4,English,6,Frank,Iris,pies,10,8,8,some,1,1,1,1,0,0,1,0
19,F,45,10,English,1,Wendy,Tracy,strawberries,100,10,100,all,0.675,0.725,0.6,0.65,0.425,0.3,0.825,0.225
19,F,45,10,English,2,Winston,Edward,M&M's,10,3,3,some,0.15,0.15,0.15,0.15,0.225,0.6,0.2,0.65
19,F,45,10,English,3,Rebecca,Nancy,blueberries,10,8,8,some,0.6,0.65,0.6,0.575,0.5,0.425,0.7,0.4
19,F,45,10,English,4,Grace,Mary,pies,10,10,10,all,0.825,0.8,0.775,0.825,0.6,0.25,0.925,0.3
19,F,45,10,English,5,Bob,Lena,M&M's,100,3,37,some,0.325,0.225,0.225,0.225,0.4,0.725,0.575,0.75
19,F,45,10,English,6,Nathan,Henry,M&M's,100,8,80,some,0.675,0.65,0.65,0.675,0.5,0.375,0.825,0.35
20,F,55,4,english,1,Kevin,George,pies,100,10,100,all,1,1,1,1,1,0,1,0
20,F,55,4,english,2,Victor,Barbara,M&M's,100,8,80,some,0.8,0.8,0.25,0.825,0,0,0.775,0.225
20,F,55,4,english,3,Mary,Emma,bananas,10,3,3,some,0.05,0.675,0.35,0.35,0.2,0.65,0.95,0.475
20,F,55,4,english,4,Frank,Stephanie,blueberries,10,8,8,some,0.3,0.8,0,0.35,0,0.25,0.8,0.775
20,F,55,4,english,5,Robert,Heather,M&M's,10,10,10,all,0,0.05,0,0,0.2,0.7,0,1
20,F,55,4,english,6,Yvonne,Albert,blueberries,100,3,30,some,0,0,0,0,0.225,1,0.675,1
21,F,35,4,english,1,Henry,Patty,pies,100,8,83,some,0.9,0.925,0.8,0.95,0.25,0.125,0.9,0.275
21,F,35,4,english,2,Emma,Frank,cookies,10,3,3,some,0.4,0.425,0.3,0.35,0.6,0.625,0.575,0.475
21,F,35,4,english,3,Robert,Patrick,strawberries,100,10,100,all,0.575,0.575,0.575,0.675,0.55,0.575,0.775,0.5
21,F,35,4,english,4,Barbara,Larry,pies,10,10,10,all,0.825,0.825,0.825,0.85,0.275,0.275,0.95,0.1
21,F,35,4,english,5,Tom,David,M&M's,100,3,39,some,0.225,0.3,0.225,0.25,0.5,0.55,0.5,0.825
21,F,35,4,english,6,Olga,Lena,M&M's,10,8,8,some,0.55,0.575,0.6,0.325,0.275,0.35,0.575,0.4
22,F,55,4,english,1,Tom,Matt,bananas,10,10,10,all,0.825,0.975,0.85,0.825,0.05,0.025,0.675,0.325
22,F,55,4,english,2,Albert,Stephanie,M&M's,100,10,100,all,0.75,0.825,0.85,0.825,0.275,0.2,0.9,0.55
22,F,55,4,english,3,Larry,Iris,cookies,10,8,8,some,0.775,0.775,0.8,0.8,0.3,0.25,0.75,0.5
22,F,55,4,english,4,Winston,Zack,pies,100,8,87,some,0.775,0.9,0.8,0.85,0.275,0.4,0.875,0.25
22,F,55,4,english,5,Ivan,Lena,pies,10,3,3,some,0.6,0.575,0.6,0.625,0.5,0.625,0.725,0.4
22,F,55,4,english,6,Patrick,Bob,bananas,100,3,37,some,0.45,0.625,0.625,0.65,0.325,0.3,0.825,0.3
23,F,35,6,English,1,Fiona,Stephanie,pies,10,8,8,some,1,1,1,0.975,0.3,0,0.85,0
23,F,35,6,English,2,Iris,Olga,blueberries,100,10,100,all,1,1,1,1,0,0,1,0
23,F,35,6,English,3,Wendy,Kevin,M&M's,100,8,87,some,0.875,0.8,0.75,0.725,0.2,0.175,1,0.15
23,F,35,6,English,4,Zack,Victoria,cookies,10,10,10,all,1,1,0.975,1,0.05,0.1,1,0.075
23,F,35,6,English,5,Grace,Diana,strawberries,10,3,3,some,0.175,0.575,0,0,0.025,0.525,0.65,0.9
23,F,35,6,English,6,Tom,Matt,bananas,100,3,39,some,0.425,0.575,0,0.325,0.175,0.45,0.825,0.65
24,M,35,4,English,1,Diana,Steven,pies,100,8,83,some,0.8,0.85,0.7,1,0,0,1,0
24,M,35,4,English,2,Fiona,Barbara,bananas,100,10,100,all,1,1,1,1,0.15,0,1,0
24,M,35,4,English,3,Oliver,Lena,M&M's,100,3,35,some,0.35,0.15,0.2,0.075,0.25,0.5,0.35,0.65
24,M,35,4,English,4,Winston,David,bananas,10,8,8,some,0.85,1,0.85,0.875,0.225,0,1,0
24,M,35,4,English,5,Jane,Bob,cookies,10,10,10,all,1,1,1,0.825,1,0,1,0
24,M,35,4,English,6,Mary,Henry,bananas,10,3,3,some,0.1,0.125,0.075,0.1,0.4,0.575,0,0.725
25,F,45,11,English ,1,Rebecca,Calvin,M&M's,10,10,10,all,0.45,0.625,0.575,0.5,0.425,0.425,0.575,0.5
25,F,45,11,English ,2,Tracy,David,cookies,100,8,84,some,0.5,0.55,0.475,0.525,0.45,0.525,0.55,0.5
25,F,45,11,English ,3,Steven,Nancy,pies,10,8,8,some,0.55,0.55,0.525,0.55,0.5,0.5,0.55,0.5
25,F,45,11,English ,4,Kathy,Grace,bananas,10,3,3,some,0.45,0.425,0.425,0.45,0.45,0.525,0.425,0.5
25,F,45,11,English ,5,Tom,Patrick,cookies,100,10,100,all,0.6,0.575,0.55,0.625,0.45,0.45,0.575,0.5
25,F,45,11,English ,6,Wendy,Larry,strawberries,100,3,37,some,0.475,0.5,0.45,0.45,0.5,0.525,0.45,0.5
26,F,35,4,English,1,Kevin,Fiona,bananas,100,10,100,all,0.825,0.9,0.15,0.8,0.325,0.25,0.9,0.3
26,F,35,4,English,2,Frank,Iris,bananas,100,3,36,some,0.425,0.475,0.4,0.625,0.55,0.525,0.725,0.45
26,F,35,4,English,3,Winston,Calvin,bananas,10,8,8,some,0.575,0.725,0.725,0.65,0.35,0.425,0.75,0.45
26,F,35,4,English,4,Ann,Barbara,cookies,100,8,88,some,0.775,0.9,0.675,0.725,0.45,0.125,1,0.35
26,F,35,4,English,5,Stephanie,Nathan,strawberries,10,3,3,some,0.375,0.4,0.175,0.275,0.45,0.575,0.4,0.5
26,F,35,4,English,6,Mary,Patrick,bananas,10,10,10,all,0.825,0.875,0.8,0.675,0.25,0.375,0.95,0.3
27,M,65,6,english,1,Steven,Larry,cookies,100,3,34,some,0.8,0.975,0.6,0.75,0.025,0,0.775,0
27,M,65,6,english,2,Mary,Grace,pies,100,10,100,all,0.975,1,1,1,0.775,0.025,1,0.025
27,M,65,6,english,3,Olga,Frank,bananas,10,8,8,some,0.95,0.95,0.725,0.775,0.95,0.05,0.95,0.05
27,M,65,6,english,4,Diana,Heather,strawberries,100,8,81,some,0.975,0.975,0.925,0.85,0.825,0,0.95,0
27,M,65,6,english,5,Oliver,Patrick,blueberries,10,10,10,all,0.625,0.625,0.6,0.55,0.525,0.35,0.525,0.375
27,M,65,6,english,6,Rebecca,Nathan,bananas,10,3,3,some,0.575,0.65,0.625,0.45,0.6,0.35,0.625,0.4
28,F,35,6,English,1,George,Stephanie,strawberries,100,8,84,some,0.875,0.925,0.925,0.85,0.075,0.075,0.875,0.225
28,F,35,6,English,2,Bob,Henry,blueberries,100,3,32,some,0.55,0.8,0.6,0.525,0.15,0.075,0.675,0.375
28,F,35,6,English,3,Albert,Tracy,cookies,100,10,100,all,0.975,1,0.975,1,0,0,0.975,0
28,F,35,6,English,4,Mary,Lena,bananas,10,10,10,all,0.65,0.9,0.825,0.475,0.075,0.075,0.85,0.35
28,F,35,6,English,5,Kathy,Jane,bananas,10,8,8,some,0.75,0.825,0.675,0.7,0.075,0.125,0.775,0.225
28,F,35,6,English,6,Matt,Nathan,pies,10,3,3,some,0.8,0.95,0.775,0.625,0.275,0.275,0.9,0.125
29,F,35,4,english,1,Jake,Ann,cookies,10,10,10,all,1,1,0.5,0.5,0,0,1,0
29,F,35,4,english,2,Matt,Heather,bananas,100,8,84,some,0.55,0.65,0.375,0.425,0.75,0.6,1,0
29,F,35,4,english,3,Patrick,Frank,M&M's,10,8,8,some,1,1,1,0,0,0,0,0
29,F,35,4,english,4,Larry,Tom,blueberries,100,10,100,all,1,1,1,1,0,0,1,0
29,F,35,4,english,5,Jane,Nathan,cookies,100,3,35,some,0.4,0.275,0.25,0.65,1,1,0.725,0
29,F,35,4,english,6,Tracy,Ivan,M&M's,10,3,3,some,0,0,0,0.3,0.65,0.575,0.75,0
30,M,25,4,english,1,Oliver,Kathy,strawberries,100,3,31,some,0.675,0.8,0.65,0.625,0.025,0.225,0.5,0.275
30,M,25,4,english,2,Ivan,Patty,cookies,10,3,3,some,0.575,0.65,0.6,0.5,0.025,0.175,0.5,0.425
30,M,25,4,english,3,Patrick,Tom,strawberries,10,8,8,some,0.85,0.85,0.8,0.825,0.1,0.075,0.625,0.05
30,M,25,4,english,4,Zack,Jake,cookies,100,10,100,all,0.975,0.975,0.9,0.975,0.075,0.025,0.95,0
30,M,25,4,english,5,Victoria,Albert,pies,10,10,10,all,0.975,0.975,0.85,0.975,0.025,0,0.975,0.025
30,M,25,4,english,6,Matt,Nathan,bananas,100,8,80,some,0.775,0.8,0.9,0.925,0.05,0.075,0.925,0.075
