"","food","totalQuant","eatenQuant","N","probability","sd","se","ci"
"1","blueberries","10","0",25,0.12100930407104,0.0654236064970244,0.0130847212994049,0.0270055374691453
"2","blueberries","10","1",25,0.171187265360624,0.185865466772924,0.0371730933545848,0.0767214939057919
"3","blueberries","10","2",25,0.121436863357836,0.0581033675586474,0.0116206735117295,0.0239838913460074
"4","blueberries","10","3",25,0.106379377673196,0.0423046454711925,0.0084609290942385,0.0174624993876355
"5","blueberries","10","4",25,0.090078406512904,0.0379520678573201,0.00759041357146403,0.0156658436523064
"6","blueberries","10","5",25,0.080878570182996,0.0467213582380332,0.00934427164760664,0.0192856288129569
"7","blueberries","10","6",25,0.0671180377753784,0.0346109340312475,0.0069221868062495,0.0142866913927388
"8","blueberries","10","7",25,0.05874574075682,0.0380665016890498,0.00761330033780995,0.0157130796164481
"9","blueberries","10","8",25,0.05546180674128,0.041331422740757,0.0082662845481514,0.0170607727889376
"10","blueberries","10","9",25,0.0547039241977492,0.0433045876803609,0.00866091753607219,0.0178752552450783
"11","blueberries","10","10",25,0.0730007033701528,0.11059696159743,0.022119392319486,0.0456521819922731
"12","blueberries","100","0",24,0.290834563392833,0.127919884658441,0.0261115371140716,0.0540158299707636
"13","blueberries","100","1",24,0.248402395268933,0.104666621090592,0.0213649845644315,0.0441968379156967
"14","blueberries","100","2",24,0.140302413231712,0.0592029909521942,0.0120847599232904,0.0249992305854018
"15","blueberries","100","3",24,0.0871229749855167,0.0544158486848826,0.0111075885998718,0.0229777976905286
"16","blueberries","100","4",24,0.0688733557777583,0.0418405505197517,0.00854066661087776,0.0176677149826441
"17","blueberries","100","5",24,0.0474381526049125,0.0318233158367992,0.00649590714363244,0.0134378077492507
"18","blueberries","100","6",24,0.0336711113473167,0.0293987359272547,0.00600099184205014,0.0124139974441196
"19","blueberries","100","7",24,0.0258120098964692,0.029304542490145,0.00598176468721367,0.0123742230439405
"20","blueberries","100","8",24,0.0205178504563992,0.022177520196149,0.00452696735340281,0.0093647454677353
"21","blueberries","100","9",24,0.0201596676497842,0.026514679447071,0.00541228627823202,0.0111961671992313
"22","blueberries","100","10",24,0.0168655053883621,0.0219852390616203,0.00448771813117292,0.0092835522654664
"23","M&M's","10","0",24,0.0764427021286,0.0469094865029388,0.00957535883568121,0.0198081389279252
"24","M&M's","10","1",24,0.116634660594479,0.0850263122692694,0.0173559233141879,0.0359034628497442
"25","M&M's","10","2",24,0.111648666175213,0.0581100348702174,0.0118616611972809,0.0245377157079674
"26","M&M's","10","3",24,0.104699208927204,0.040939365992967,0.0083567130896516,0.0172871781309963
"27","M&M's","10","4",24,0.0963401923504375,0.0321028208086825,0.00655296085710619,0.0135558323478308
"28","M&M's","10","5",24,0.0842049958660458,0.0391835119309979,0.00799830088010015,0.0165457459860405
"29","M&M's","10","6",24,0.0840796898231458,0.039075732346489,0.00797630046453881,0.0165002346589572
"30","M&M's","10","7",24,0.0780370368171667,0.0430397663013677,0.00878545550724877,0.0181740993960681
"31","M&M's","10","8",24,0.0732280886191563,0.0426306327242773,0.00870194146553951,0.0180013374381094
"32","M&M's","10","9",24,0.0686627472821258,0.0436667147717872,0.00891343082787761,0.0184388365170328
"33","M&M's","10","10",24,0.10602201141654,0.194516467259002,0.0397055076127788,0.0821371004987263
"34","M&M's","100","0",25,0.230143324116056,0.182133367097028,0.0364266734194055,0.0751809588752049
"35","M&M's","100","1",25,0.189472052794,0.0931180379740488,0.0186236075948098,0.0384372369272526
"36","M&M's","100","2",25,0.16816632154532,0.107731361245129,0.0215462722490258,0.0444693203032102
"37","M&M's","100","3",25,0.121351725192032,0.0478483363763876,0.00956966727527752,0.0197508225247041
"38","M&M's","100","4",25,0.079256247144816,0.0415147893131074,0.00830295786262149,0.0171364627899226
"39","M&M's","100","5",25,0.059071678922148,0.0383044426636514,0.00766088853273028,0.0158112968234947
"40","M&M's","100","6",25,0.048588171356656,0.0304503946547598,0.00609007893095196,0.0125693051457929
"41","M&M's","100","7",25,0.0384414963827072,0.0265437271510237,0.00530874543020474,0.0109567120574489
"42","M&M's","100","8",25,0.0293447073654324,0.0234547202424539,0.00469094404849078,0.00968163267435766
"43","M&M's","100","9",25,0.0207922561844116,0.0189166612028645,0.00378333224057289,0.00780841396947932
"44","M&M's","100","10",25,0.0153720189966856,0.0175082409825243,0.00350164819650486,0.00722704667609374
"45","strawberries","10","0",26,0.135253491890105,0.0705282525579205,0.0138317283097091,0.0284869777050551
"46","strawberries","10","1",26,0.229438236794562,0.185602389125172,0.0363996232276421,0.0749664273430233
"47","strawberries","10","2",26,0.158480646931712,0.0669015722628977,0.0131204777868674,0.0270221298325967
"48","strawberries","10","3",26,0.1442578913401,0.0620839394590965,0.012175662260871,0.0250762458315672
"49","strawberries","10","4",26,0.102662989942346,0.0516181882753628,0.0101231595873993,0.020849037445923
"50","strawberries","10","5",26,0.0663848741142615,0.0480506304206224,0.00942350392904572,0.0194080696438918
"51","strawberries","10","6",26,0.0477774497967154,0.0352197654900028,0.00690716428837254,0.014225571142104
"52","strawberries","10","7",26,0.0372885960580192,0.0326775568100792,0.00640859614735118,0.013198750834496
"53","strawberries","10","8",26,0.0292220857689385,0.0274383706998462,0.00538110721614263,0.0110825977681447
"54","strawberries","10","9",26,0.026108547734705,0.0260608778165976,0.00511095863569955,0.0105262163517506
