workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.foods	Answer.quantities	Answer.quantifiers	Answer.personAs	Answer.personBs	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9	Answer.priors10
1	M	35	4	english	1,2,3	pies,M&M's,cookies	10,10,10	some,some,some	Calvin,Ann,Frank	Bob,David,Diana	0.7,0.55,0.5	0.675,0.5,0.5	0.75,0.575,0.5	0.775,0.65,0.425	0.675,0.575,0.55	0.75,0.6,0.575	0.75,0.675,0.5	0.625,0.675,0.45	0.725,0.675,0.425	0.7,0.725,0.45	0.725,0.65,0.5
2	F	35	0	English	1,2,3	pies,M&M's,cookies	10,10,10	all,all,some	Fiona,Barbara,David	Diana,Ann,Frank	0.025,0.025,0.05	0.375,0.675,0.6	0.375,0.675,0.625	0.75,0.725,0.75	0.425,0.75,0.9	0.45,0.775,0.35	0.425,0.775,0.325	0.125,0.8,0.325	0.075,0.8,0.2	0.125,0.8,0.175	0,1,0
3	M	35	10	English	1,2,3	pies,M&M's,cookies	10,10,10	some,all,all	Ann,David,Edward	Bob,Albert,Fiona	0,0,0	0.175,0,0	0.6,0,0	0.65,0,0	0.775,0,0	0.6,0,0	0.45,0,0	0.4,0,0	0.3,0,0.1	0.15,0.15,0.125	0.075,1,1
4	M	55	4	English	1,2,3	cookies,pies,M&M's	10,10,10	all,all,some	Emma,Bob,Edward	Frank,Fiona,Ann	1,0.4,0.5	1,0.3,1	1,0.2,0.925	1,0.1,0.875	0.9,0,0.85	0.825,0,0.8	0.725,0,0.75	0.625,0,0.7	0.55,0,0.65	0.45,0,0.6	0.35,0,0.55
5	M	35	6	English	1,2,3	cookies,pies,M&M's	10,10,10	some,some,some	Fiona,Barbara,Emma	Edward,Albert,David	0,0,0	0.175,0.125,0.1	0.625,0.725,0.1	0.825,0.725,0.325	0.825,0.35,0.9	0.8,0.15,0.9	0.575,0.15,0.875	0.35,0.075,0.65	0.175,0,0.425	0,0,0.225	0,0,0
6	F	35	4	ENGLISH	1,2,3	pies,M&M's,cookies	10,10,10	all,some,some	Barbara,Albert,Ann	Calvin,Emma,Frank	0,0.5,0.1	0.15,0.7,0.3	0.275,0.7,0.425	0.45,0.775,0.575	0.5,0.7,0.575	0.575,0.7,0.625	0.65,0.6,0.575	0.8,0.525,0.5	0.8,0.4,0.425	0.95,0.375,0.275	1,0.225,0.15
7	M	55	4	english	1,2,3	pies,M&M's,cookies	10,10,10	some,some,some	Ann,Diana,Cathy	Frank,Albert,Calvin	0,0,0	0.2,0,0	0.875,0.125,0.225	0.675,0.25,0.4	0.6,0.325,0.5	0.6,0.425,0.6	0.425,0.5,0.575	0.325,0.6,0.5	0.275,0.625,0.4	0.175,0.75,0.3	0.125,0.9,0.225
8	M	45	6	english	1,2,3	pies,M&M's,cookies	10,10,10	some,all,all	Calvin,Frank,Edward	Ann,Fiona,Emma	0,0.025,0	1,0.1,0.075	0.725,0.1,0.15	0.7,0.1,0.175	0.575,0.175,0.25	0.55,0.225,0.275	0.325,0.225,0.325	0.125,0.3,0.4	0.1,0.325,0.425	0.075,0.675,0.625	0,0.925,0.925
9	M	35	6	English	1,2,3	pies,M&M's,cookies	10,10,10	some,all,some	Emma,Barbara,Fiona	Ann,Cathy,Calvin	0,0.025,0.05	0.35,0.8,0.8	0.35,0.775,0.8	0.875,0.8,0.8	0.1,0.8,0.975	0.1,0.8,0.525	0.1,0.8,0.55	0.125,0.775,0.575	0.1,0.8,0.6	0.125,0.8,0.575	0.1,1,0.575
10	M	25	4	ENGLISH	1,2,3	pies,M&M's,cookies	10,10,10	all,some,all	Edward,Ann,Albert	Cathy,Calvin,Diana	0,0.025,0	0,0.25,0.05	0.025,0.525,0.1	0,0.675,0.1	0.025,0.75,0.1	0,0.775,0.125	0,0.8,0.075	0,0.8,0.1	0,0.775,0.1	0,0.725,0.15	1,0.7,1
