workerID,gender,age,income,language,order,food,totalQuant,quantifier,personA,personB,eatenQuant,probability
1,M,25,4,English,1,pies,10,all,Diana,Albert,0,0.0
1,M,25,4,English,1,pies,10,all,Diana,Albert,1,0.0
1,M,25,4,English,1,pies,10,all,Diana,Albert,2,0.0
1,M,25,4,English,1,pies,10,all,Diana,Albert,3,0.0
1,M,25,4,English,1,pies,10,all,Diana,Albert,4,0.0
1,M,25,4,English,1,pies,10,all,Diana,Albert,5,0.125
1,M,25,4,English,1,pies,10,all,Diana,Albert,6,0.157894736842
1,M,25,4,English,1,pies,10,all,Diana,Albert,7,0.177631578947
1,M,25,4,English,1,pies,10,all,Diana,Albert,8,0.203947368421
1,M,25,4,English,1,pies,10,all,Diana,Albert,9,0.184210526316
1,M,25,4,English,1,pies,10,all,Diana,Albert,10,0.151315789474
1,M,25,4,English,2,cookies,10,some,Ann,Frank,0,0.0
1,M,25,4,English,2,cookies,10,some,Ann,Frank,1,0.0
1,M,25,4,English,2,cookies,10,some,Ann,Frank,2,0.142857142857
1,M,25,4,English,2,cookies,10,some,Ann,Frank,3,0.285714285714
1,M,25,4,English,2,cookies,10,some,Ann,Frank,4,0.428571428571
1,M,25,4,English,2,cookies,10,some,Ann,Frank,5,0.142857142857
1,M,25,4,English,2,cookies,10,some,Ann,Frank,6,0.0
1,M,25,4,English,2,cookies,10,some,Ann,Frank,7,0.0
1,M,25,4,English,2,cookies,10,some,Ann,Frank,8,0.0
1,M,25,4,English,2,cookies,10,some,Ann,Frank,9,0.0
1,M,25,4,English,2,cookies,10,some,Ann,Frank,10,0.0
1,M,25,4,English,3,M&M's,10,all,Edward,Cathy,0,0.0
1,M,25,4,English,3,M&M's,10,all,Edward,Cathy,1,0.0
1,M,25,4,English,3,M&M's,10,all,Edward,Cathy,2,0.0
1,M,25,4,English,3,M&M's,10,all,Edward,Cathy,3,0.0
1,M,25,4,English,3,M&M's,10,all,Edward,Cathy,4,0.036036036036
